round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,21,36,2,8,0.8507,0.7241,0.9474,0.8077,0.9211
2,17,46,2,2,0.9403,0.8947,0.9583,0.8947,0.9594
3,16,44,2,5,0.8955,0.7619,0.9565,0.8205,0.9493
4,14,42,1,10,0.8358,0.5833,0.9767,0.7179,0.8672
5,21,37,0,9,0.8657,0.7,1.0,0.8235,0.9631
6,16,45,1,5,0.9104,0.7619,0.9783,0.8421,0.8913
7,12,47,0,8,0.8806,0.6,1.0,0.75,0.8862
8,16,42,1,8,0.8657,0.6667,0.9767,0.7805,0.8401
9,18,38,0,11,0.8358,0.6207,1.0,0.766,0.9474
10,17,42,0,8,0.8806,0.68,1.0,0.8095,0.879
11,15,44,2,6,0.8806,0.7143,0.9565,0.7895,0.9151
12,16,46,1,4,0.9254,0.8,0.9787,0.8649,0.9628
13,11,47,0,9,0.8657,0.55,1.0,0.7097,0.9032
14,20,41,0,6,0.9104,0.7692,1.0,0.8696,0.924
15,11,46,1,9,0.8507,0.55,0.9787,0.6875,0.9021
16,13,40,2,12,0.791,0.52,0.9524,0.65,0.8162
17,12,50,0,5,0.9254,0.7059,1.0,0.8276,0.9329
18,20,39,0,8,0.8806,0.7143,1.0,0.8333,0.8883
19,21,42,0,4,0.9403,0.84,1.0,0.913,0.96
20,15,42,1,9,0.8507,0.625,0.9767,0.75,0.8886
21,13,46,1,7,0.8806,0.65,0.9787,0.7647,0.9096
22,14,43,2,8,0.8507,0.6364,0.9556,0.7368,0.8808
23,14,43,2,8,0.8507,0.6364,0.9556,0.7368,0.8576
24,14,42,2,9,0.8358,0.6087,0.9545,0.7179,0.9377
25,13,49,1,4,0.9254,0.7647,0.98,0.8387,0.9271
26,12,46,4,5,0.8657,0.7059,0.92,0.7273,0.8965
27,12,49,0,6,0.9104,0.6667,1.0,0.8,0.9535
28,16,47,0,4,0.9403,0.8,1.0,0.8889,0.9745
29,21,44,1,1,0.9701,0.9545,0.9778,0.9545,0.997
30,9,48,2,8,0.8507,0.5294,0.96,0.6429,0.8729
31,13,46,0,8,0.8806,0.619,1.0,0.7647,0.9296
32,16,38,1,12,0.806,0.5714,0.9744,0.7111,0.8214
33,15,43,0,9,0.8657,0.625,1.0,0.7692,0.7791
34,9,52,1,5,0.9104,0.6429,0.9811,0.75,0.9137
35,16,42,1,8,0.8657,0.6667,0.9767,0.7805,0.8953
36,19,39,1,8,0.8657,0.7037,0.975,0.8085,0.9028
37,17,39,0,11,0.8358,0.6071,1.0,0.7556,0.8507
38,16,43,1,7,0.8806,0.6957,0.9773,0.8,0.9229
39,21,41,0,5,0.9254,0.8077,1.0,0.8936,0.9475
40,21,40,1,5,0.9104,0.8077,0.9756,0.875,0.955
41,13,44,0,10,0.8507,0.5652,1.0,0.7222,0.8389
42,12,42,2,11,0.806,0.5217,0.9545,0.6486,0.8982
43,12,44,2,9,0.8358,0.5714,0.9565,0.6857,0.8841
44,14,45,1,7,0.8806,0.6667,0.9783,0.7778,0.8934
45,17,37,2,11,0.806,0.6071,0.9487,0.7234,0.8974
46,14,48,0,5,0.9254,0.7368,1.0,0.8485,0.9693
47,18,37,0,12,0.8209,0.6,1.0,0.75,0.8054
48,18,41,1,7,0.8806,0.72,0.9762,0.8182,0.8952
49,15,42,0,10,0.8507,0.6,1.0,0.75,0.92
50,16,44,0,7,0.8955,0.6957,1.0,0.8205,0.9239
51,15,41,0,11,0.8358,0.5769,1.0,0.7317,0.8105
52,18,43,0,6,0.9104,0.75,1.0,0.8571,0.9109
53,23,31,1,12,0.806,0.6571,0.9688,0.7797,0.8911
54,14,44,1,8,0.8657,0.6364,0.9778,0.7568,0.8586
55,12,44,0,11,0.8358,0.5217,1.0,0.6857,0.7796
56,14,38,1,14,0.7761,0.5,0.9744,0.6512,0.9203
57,17,43,1,6,0.8955,0.7391,0.9773,0.8293,0.9298
58,19,41,1,6,0.8955,0.76,0.9762,0.8444,0.9505
59,14,42,1,10,0.8358,0.5833,0.9767,0.7179,0.8876
60,21,40,1,5,0.9104,0.8077,0.9756,0.875,0.9747
61,23,35,0,9,0.8657,0.7188,1.0,0.8364,0.8946
62,14,46,2,5,0.8955,0.7368,0.9583,0.8,0.8958
63,19,45,0,3,0.9552,0.8636,1.0,0.9268,0.9545
64,13,48,1,5,0.9104,0.7222,0.9796,0.8125,0.9422
65,10,43,0,14,0.791,0.4167,1.0,0.5882,0.8362
66,11,46,2,8,0.8507,0.5789,0.9583,0.6875,0.8344
67,12,44,1,10,0.8358,0.5455,0.9778,0.6857,0.9323
68,15,38,0,14,0.791,0.5172,1.0,0.6818,0.804
69,9,50,2,6,0.8806,0.6,0.9615,0.6923,0.9385
70,15,46,2,4,0.9104,0.7895,0.9583,0.8333,0.9539
71,23,34,1,9,0.8507,0.7188,0.9714,0.8214,0.9482
72,14,45,1,7,0.8806,0.6667,0.9783,0.7778,0.9327
73,17,45,0,5,0.9254,0.7727,1.0,0.8718,0.9525
74,19,41,1,6,0.8955,0.76,0.9762,0.8444,0.899
75,13,44,0,10,0.8507,0.5652,1.0,0.7222,0.8883
76,23,36,1,7,0.8806,0.7667,0.973,0.8519,0.9198
77,9,44,2,12,0.791,0.4286,0.9565,0.5625,0.7899
78,20,43,0,4,0.9403,0.8333,1.0,0.9091,0.9554
79,16,39,1,11,0.8209,0.5926,0.975,0.7273,0.9148
80,11,51,1,4,0.9254,0.7333,0.9808,0.8148,0.9231
81,15,41,3,8,0.8358,0.6522,0.9318,0.7317,0.836
82,6,49,1,11,0.8209,0.3529,0.98,0.5,0.8224
83,17,42,0,8,0.8806,0.68,1.0,0.8095,0.9095
84,19,37,3,8,0.8358,0.7037,0.925,0.7755,0.8713
85,13,47,1,6,0.8955,0.6842,0.9792,0.7879,0.9156
86,18,39,2,8,0.8507,0.6923,0.9512,0.7826,0.9315
87,13,43,0,11,0.8358,0.5417,1.0,0.7027,0.8479
88,17,41,1,8,0.8657,0.68,0.9762,0.7907,0.9038
89,16,44,0,7,0.8955,0.6957,1.0,0.8205,0.8785
90,17,41,0,9,0.8657,0.6538,1.0,0.7907,0.9418
91,17,41,1,8,0.8657,0.68,0.9762,0.7907,0.9352
92,16,38,5,8,0.806,0.6667,0.8837,0.7111,0.8014
93,10,48,1,8,0.8657,0.5556,0.9796,0.6897,0.9252
94,20,43,0,4,0.9403,0.8333,1.0,0.9091,0.9738
95,14,43,1,9,0.8507,0.6087,0.9773,0.7368,0.8281
96,9,46,1,11,0.8209,0.45,0.9787,0.6,0.8426
97,10,45,0,12,0.8209,0.4545,1.0,0.625,0.9303
98,10,50,2,5,0.8955,0.6667,0.9615,0.7407,0.909
99,12,47,0,8,0.8806,0.6,1.0,0.75,0.85
100,20,39,0,8,0.8806,0.7143,1.0,0.8333,0.8984
101,10,50,2,5,0.8955,0.6667,0.9615,0.7407,0.9667
102,22,35,2,8,0.8507,0.7333,0.9459,0.8148,0.9135
103,9,46,1,11,0.8209,0.45,0.9787,0.6,0.7606
104,14,43,1,9,0.8507,0.6087,0.9773,0.7368,0.9012
105,12,48,0,7,0.8955,0.6316,1.0,0.7742,0.898
106,14,48,0,5,0.9254,0.7368,1.0,0.8485,0.92
107,18,44,0,5,0.9254,0.7826,1.0,0.878,0.8458
