round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,21,37,1,8,0.8657,0.7241,0.9737,0.8235,0.9419
2,17,46,2,2,0.9403,0.8947,0.9583,0.8947,0.9397
3,16,44,2,5,0.8955,0.7619,0.9565,0.8205,0.9296
4,14,43,0,10,0.8507,0.5833,1.0,0.7368,0.8886
5,21,36,1,9,0.8507,0.7,0.973,0.8077,0.9369
6,16,45,1,5,0.9104,0.7619,0.9783,0.8421,0.8437
7,12,44,3,8,0.8358,0.6,0.9362,0.6857,0.8457
8,16,43,0,8,0.8806,0.6667,1.0,0.8,0.7926
9,18,38,0,11,0.8358,0.6207,1.0,0.766,0.9256
10,17,42,0,8,0.8806,0.68,1.0,0.8095,0.8571
11,15,45,1,6,0.8955,0.7143,0.9783,0.8108,0.881
12,16,45,2,4,0.9104,0.8,0.9574,0.8421,0.9745
13,11,46,1,9,0.8507,0.55,0.9787,0.6875,0.8351
14,20,40,1,6,0.8955,0.7692,0.9756,0.8511,0.9081
15,11,45,2,9,0.8358,0.55,0.9574,0.6667,0.8957
16,13,42,0,12,0.8209,0.52,1.0,0.6842,0.7781
17,12,49,1,5,0.9104,0.7059,0.98,0.8,0.8929
18,20,36,3,8,0.8358,0.7143,0.9231,0.7843,0.8636
19,21,42,0,4,0.9403,0.84,1.0,0.913,0.9781
20,15,43,0,9,0.8657,0.625,1.0,0.7692,0.8643
21,13,45,2,7,0.8657,0.65,0.9574,0.7429,0.9053
22,14,45,0,8,0.8806,0.6364,1.0,0.7778,0.8949
23,14,45,0,8,0.8806,0.6364,1.0,0.7778,0.8444
24,14,43,1,9,0.8507,0.6087,0.9773,0.7368,0.9328
25,13,48,2,4,0.9104,0.7647,0.96,0.8125,0.9141
26,12,50,0,5,0.9254,0.7059,1.0,0.8276,0.9141
27,12,49,0,6,0.9104,0.6667,1.0,0.8,0.9728
28,16,46,1,4,0.9254,0.8,0.9787,0.8649,0.9777
29,21,44,1,1,0.9701,0.9545,0.9778,0.9545,0.9949
30,9,50,0,8,0.8806,0.5294,1.0,0.6923,0.8906
31,13,45,1,8,0.8657,0.619,0.9783,0.7429,0.8872
32,16,38,1,12,0.806,0.5714,0.9744,0.7111,0.7967
33,15,43,0,9,0.8657,0.625,1.0,0.7692,0.7587
34,9,51,2,5,0.8955,0.6429,0.9623,0.72,0.8895
35,16,41,2,8,0.8507,0.6667,0.9535,0.7619,0.8828
36,19,38,2,8,0.8507,0.7037,0.95,0.7917,0.8954
37,17,38,1,11,0.8209,0.6071,0.9744,0.7391,0.8443
38,16,44,0,7,0.8955,0.6957,1.0,0.8205,0.9308
39,21,41,0,5,0.9254,0.8077,1.0,0.8936,0.9465
40,21,41,0,5,0.9254,0.8077,1.0,0.8936,0.9644
41,13,43,1,10,0.8358,0.5652,0.9773,0.7027,0.835
42,12,43,1,11,0.8209,0.5217,0.9773,0.6667,0.8745
43,12,44,2,9,0.8358,0.5714,0.9565,0.6857,0.8706
44,14,45,1,7,0.8806,0.6667,0.9783,0.7778,0.8696
45,17,38,1,11,0.8209,0.6071,0.9744,0.7391,0.8782
46,14,47,1,5,0.9104,0.7368,0.9792,0.8235,0.9507
47,18,36,1,12,0.806,0.6,0.973,0.7347,0.7604
48,18,42,0,7,0.8955,0.72,1.0,0.8372,0.8457
49,15,42,0,10,0.8507,0.6,1.0,0.75,0.9076
50,16,43,1,7,0.8806,0.6957,0.9773,0.8,0.8992
51,15,39,2,11,0.806,0.5769,0.9512,0.6977,0.7805
52,18,42,1,6,0.8955,0.75,0.9767,0.8372,0.8876
53,23,31,1,12,0.806,0.6571,0.9688,0.7797,0.85
54,14,44,1,8,0.8657,0.6364,0.9778,0.7568,0.8333
55,12,44,0,11,0.8358,0.5217,1.0,0.6857,0.7885
56,14,39,0,14,0.791,0.5,1.0,0.6667,0.9258
57,17,43,1,6,0.8955,0.7391,0.9773,0.8293,0.9111
58,19,41,1,6,0.8955,0.76,0.9762,0.8444,0.9229
59,14,41,2,10,0.8209,0.5833,0.9535,0.7,0.8643
60,21,40,1,5,0.9104,0.8077,0.9756,0.875,0.9672
61,23,35,0,9,0.8657,0.7188,1.0,0.8364,0.8991
62,14,48,0,5,0.9254,0.7368,1.0,0.8485,0.8991
63,19,44,1,3,0.9403,0.8636,0.9778,0.9048,0.9313
64,13,47,2,5,0.8955,0.7222,0.9592,0.7879,0.9116
65,10,43,0,14,0.791,0.4167,1.0,0.5882,0.811
66,11,48,0,8,0.8806,0.5789,1.0,0.7333,0.8125
67,12,44,1,10,0.8358,0.5455,0.9778,0.6857,0.8859
68,15,38,0,14,0.791,0.5172,1.0,0.6818,0.7641
69,9,51,1,6,0.8955,0.6,0.9808,0.72,0.9551
70,15,46,2,4,0.9104,0.7895,0.9583,0.8333,0.9276
71,23,34,1,9,0.8507,0.7188,0.9714,0.8214,0.9205
72,14,45,1,7,0.8806,0.6667,0.9783,0.7778,0.8944
73,17,42,3,5,0.8806,0.7727,0.9333,0.8095,0.9364
74,19,41,1,6,0.8955,0.76,0.9762,0.8444,0.8857
75,13,43,1,10,0.8358,0.5652,0.9773,0.7027,0.8626
76,23,36,1,7,0.8806,0.7667,0.973,0.8519,0.8802
77,9,46,0,12,0.8209,0.4286,1.0,0.6,0.7484
78,20,41,2,4,0.9104,0.8333,0.9535,0.8696,0.9302
79,16,40,0,11,0.8358,0.5926,1.0,0.7442,0.8731
80,11,51,1,4,0.9254,0.7333,0.9808,0.8148,0.9064
81,15,43,1,8,0.8657,0.6522,0.9773,0.7692,0.7925
82,6,49,1,11,0.8209,0.3529,0.98,0.5,0.7624
83,17,41,1,8,0.8657,0.68,0.9762,0.7907,0.8829
84,19,39,1,8,0.8657,0.7037,0.975,0.8085,0.863
85,13,47,1,6,0.8955,0.6842,0.9792,0.7879,0.8816
86,18,40,1,8,0.8657,0.6923,0.9756,0.8,0.9325
87,13,42,1,11,0.8209,0.5417,0.9767,0.6842,0.8304
88,17,41,1,8,0.8657,0.68,0.9762,0.7907,0.9029
89,16,42,2,7,0.8657,0.6957,0.9545,0.7805,0.8528
90,17,41,0,9,0.8657,0.6538,1.0,0.7907,0.9174
91,17,40,2,8,0.8507,0.68,0.9524,0.7727,0.9181
92,16,40,3,8,0.8358,0.6667,0.9302,0.7442,0.7694
93,10,49,0,8,0.8806,0.5556,1.0,0.7143,0.8798
94,20,42,1,4,0.9254,0.8333,0.9767,0.8889,0.9719
95,14,42,2,9,0.8358,0.6087,0.9545,0.7179,0.8142
96,9,46,1,11,0.8209,0.45,0.9787,0.6,0.8234
97,10,43,2,12,0.791,0.4545,0.9556,0.5882,0.8677
98,10,50,2,5,0.8955,0.6667,0.9615,0.7407,0.9128
99,12,45,2,8,0.8507,0.6,0.9574,0.7059,0.817
100,20,38,1,8,0.8657,0.7143,0.9744,0.8163,0.8883
101,10,52,0,5,0.9254,0.6667,1.0,0.8,0.9692
102,22,36,1,8,0.8657,0.7333,0.973,0.8302,0.9225
103,9,47,0,11,0.8358,0.45,1.0,0.6207,0.733
104,14,44,0,9,0.8657,0.6087,1.0,0.7568,0.8626
105,12,48,0,7,0.8955,0.6316,1.0,0.7742,0.8662
