round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,23,37,1,6,0.8955,0.7931,0.9737,0.8679,0.931
2,17,46,2,2,0.9403,0.8947,0.9583,0.8947,0.9441
3,17,44,2,4,0.9104,0.8095,0.9565,0.85,0.9224
4,18,43,0,6,0.9104,0.75,1.0,0.8571,0.8905
5,22,36,1,8,0.8657,0.7333,0.973,0.8302,0.9351
6,16,43,3,5,0.8806,0.7619,0.9348,0.8,0.8778
7,12,43,4,8,0.8209,0.6,0.9149,0.6667,0.8426
8,18,43,0,6,0.9104,0.75,1.0,0.8571,0.8353
9,20,37,1,9,0.8507,0.6897,0.9737,0.8,0.9356
10,17,41,1,8,0.8657,0.68,0.9762,0.7907,0.88
11,15,44,2,6,0.8806,0.7143,0.9565,0.7895,0.8851
12,16,43,4,4,0.8806,0.8,0.9149,0.8,0.95
13,13,45,2,7,0.8657,0.65,0.9574,0.7429,0.8511
14,21,39,2,5,0.8955,0.8077,0.9512,0.8571,0.9034
15,13,45,2,7,0.8657,0.65,0.9574,0.7429,0.8798
16,15,41,1,10,0.8358,0.6,0.9762,0.7317,0.7933
17,12,47,3,5,0.8806,0.7059,0.94,0.75,0.8824
18,22,36,3,6,0.8657,0.7857,0.9231,0.8302,0.8498
19,21,40,2,4,0.9104,0.84,0.9524,0.875,0.9581
20,15,43,0,9,0.8657,0.625,1.0,0.7692,0.8886
21,14,45,2,6,0.8806,0.7,0.9574,0.7778,0.8777
22,15,45,0,7,0.8955,0.6818,1.0,0.8108,0.8899
23,14,43,2,8,0.8507,0.6364,0.9556,0.7368,0.8737
24,15,43,1,8,0.8657,0.6522,0.9773,0.7692,0.9496
25,14,47,3,3,0.9104,0.8235,0.94,0.8235,0.9129
26,12,49,1,5,0.9104,0.7059,0.98,0.8,0.9059
27,14,48,1,4,0.9254,0.7778,0.9796,0.8485,0.9694
28,16,44,3,4,0.8955,0.8,0.9362,0.8205,0.967
29,21,42,3,1,0.9403,0.9545,0.9333,0.913,0.9788
30,9,48,2,8,0.8507,0.5294,0.96,0.6429,0.8929
31,15,43,3,6,0.8657,0.7143,0.9348,0.7692,0.8944
32,18,36,3,10,0.806,0.6429,0.9231,0.7347,0.815
33,15,42,1,9,0.8507,0.625,0.9767,0.75,0.7781
34,9,51,2,5,0.8955,0.6429,0.9623,0.72,0.8733
35,16,41,2,8,0.8507,0.6667,0.9535,0.7619,0.8973
36,20,38,2,7,0.8657,0.7407,0.95,0.8163,0.8694
37,18,38,1,10,0.8358,0.6429,0.9744,0.766,0.837
38,17,43,1,6,0.8955,0.7391,0.9773,0.8293,0.9259
39,21,41,0,5,0.9254,0.8077,1.0,0.8936,0.955
40,22,41,0,4,0.9403,0.8462,1.0,0.9167,0.9728
41,14,42,2,9,0.8358,0.6087,0.9545,0.7179,0.8488
42,13,42,2,10,0.8209,0.5652,0.9545,0.6842,0.8834
43,16,42,4,5,0.8657,0.7619,0.913,0.7805,0.8861
44,15,43,3,6,0.8657,0.7143,0.9348,0.7692,0.8789
45,19,38,1,9,0.8507,0.6786,0.9744,0.7917,0.8984
46,15,45,3,4,0.8955,0.7895,0.9375,0.8108,0.9419
47,20,34,3,10,0.806,0.6667,0.9189,0.7547,0.7739
48,18,42,0,7,0.8955,0.72,1.0,0.8372,0.8848
49,18,39,3,7,0.8507,0.72,0.9286,0.7826,0.92
50,17,41,3,6,0.8657,0.7391,0.9318,0.7907,0.9012
51,17,39,2,9,0.8358,0.6538,0.9512,0.7556,0.7861
52,18,41,2,6,0.8806,0.75,0.9535,0.8182,0.8895
53,25,31,1,10,0.8358,0.7143,0.9688,0.8197,0.8563
54,15,43,2,7,0.8657,0.6818,0.9556,0.7692,0.8545
55,14,43,1,9,0.8507,0.6087,0.9773,0.7368,0.7866
56,17,39,0,11,0.8358,0.6071,1.0,0.7556,0.9103
57,17,40,4,6,0.8507,0.7391,0.9091,0.7727,0.8972
58,21,40,2,4,0.9104,0.84,0.9524,0.875,0.9162
59,16,41,2,8,0.8507,0.6667,0.9535,0.7619,0.8663
60,21,39,2,5,0.8955,0.8077,0.9512,0.8571,0.954
61,26,34,1,6,0.8955,0.8125,0.9714,0.8814,0.8911
62,14,48,0,5,0.9254,0.7368,1.0,0.8485,0.9123
63,20,43,2,2,0.9403,0.9091,0.9556,0.9091,0.9424
64,14,47,2,4,0.9104,0.7778,0.9592,0.8235,0.9184
65,12,41,2,12,0.791,0.5,0.9535,0.6316,0.8479
66,13,46,2,6,0.8806,0.6842,0.9583,0.7647,0.8443
67,14,44,1,8,0.8657,0.6364,0.9778,0.7568,0.9051
68,18,37,1,11,0.8209,0.6207,0.9737,0.75,0.8194
69,10,51,1,5,0.9104,0.6667,0.9808,0.7692,0.959
70,15,44,4,4,0.8806,0.7895,0.9167,0.7895,0.9221
71,24,34,1,8,0.8657,0.75,0.9714,0.8421,0.9241
72,15,45,1,6,0.8955,0.7143,0.9783,0.8108,0.9172
73,17,41,4,5,0.8657,0.7727,0.9111,0.7907,0.898
74,20,40,2,5,0.8955,0.8,0.9524,0.8511,0.8857
75,14,43,1,9,0.8507,0.6087,0.9773,0.7368,0.8666
76,26,36,1,4,0.9254,0.8667,0.973,0.9123,0.9036
77,11,45,1,10,0.8358,0.5238,0.9783,0.6667,0.794
78,20,40,3,4,0.8955,0.8333,0.9302,0.8511,0.9215
79,17,39,1,10,0.8358,0.6296,0.975,0.7556,0.8769
80,11,49,3,4,0.8955,0.7333,0.9423,0.7586,0.9115
81,16,40,4,7,0.8358,0.6957,0.9091,0.7442,0.8202
82,10,49,1,7,0.8806,0.5882,0.98,0.7143,0.8212
83,18,40,2,7,0.8657,0.72,0.9524,0.8,0.8667
