round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,21,37,1,8,0.8657,0.7241,0.9737,0.8235,0.8911
2,17,46,2,2,0.9403,0.8947,0.9583,0.8947,0.9605
3,16,44,2,5,0.8955,0.7619,0.9565,0.8205,0.9006
4,14,43,0,10,0.8507,0.5833,1.0,0.7368,0.8595
5,21,36,1,9,0.8507,0.7,0.973,0.8077,0.909
6,16,43,3,5,0.8806,0.7619,0.9348,0.8,0.8685
7,12,43,4,8,0.8209,0.6,0.9149,0.6667,0.8223
8,16,43,0,8,0.8806,0.6667,1.0,0.8,0.7868
9,18,37,1,11,0.8209,0.6207,0.9737,0.75,0.9138
10,17,41,1,8,0.8657,0.68,0.9762,0.7907,0.8381
11,15,44,2,6,0.8806,0.7143,0.9565,0.7895,0.8758
12,16,43,4,4,0.8806,0.8,0.9149,0.8,0.9394
13,11,45,2,9,0.8358,0.55,0.9574,0.6667,0.833
14,20,39,2,6,0.8806,0.7692,0.9512,0.8333,0.8837
15,11,45,2,9,0.8358,0.55,0.9574,0.6667,0.8543
16,13,41,1,12,0.806,0.52,0.9762,0.6667,0.7114
17,12,47,3,5,0.8806,0.7059,0.94,0.75,0.8824
18,20,36,3,8,0.8358,0.7143,0.9231,0.7843,0.8315
19,21,40,2,4,0.9104,0.84,0.9524,0.875,0.961
20,15,43,0,9,0.8657,0.625,1.0,0.7692,0.8634
21,13,45,2,7,0.8657,0.65,0.9574,0.7429,0.8872
22,14,45,0,8,0.8806,0.6364,1.0,0.7778,0.8283
23,14,43,2,8,0.8507,0.6364,0.9556,0.7368,0.8505
24,14,43,1,9,0.8507,0.6087,0.9773,0.7368,0.9377
25,13,47,3,4,0.8955,0.7647,0.94,0.7879,0.8659
26,12,49,1,5,0.9104,0.7059,0.98,0.8,0.8824
27,12,48,1,6,0.8955,0.6667,0.9796,0.7742,0.9456
28,16,44,3,4,0.8955,0.8,0.9362,0.8205,0.9383
29,21,42,3,1,0.9403,0.9545,0.9333,0.913,0.9828
30,9,48,2,8,0.8507,0.5294,0.96,0.6429,0.8435
31,13,43,3,8,0.8358,0.619,0.9348,0.7027,0.8882
32,16,36,3,12,0.7761,0.5714,0.9231,0.6809,0.7894
33,15,42,1,9,0.8507,0.625,0.9767,0.75,0.7558
34,9,51,2,5,0.8955,0.6429,0.9623,0.72,0.8504
35,16,41,2,8,0.8507,0.6667,0.9535,0.7619,0.8992
36,19,38,2,8,0.8507,0.7037,0.95,0.7917,0.8574
37,17,38,1,11,0.8209,0.6071,0.9744,0.7391,0.8159
38,16,43,1,7,0.8806,0.6957,0.9773,0.8,0.8962
39,21,41,0,5,0.9254,0.8077,1.0,0.8936,0.94
40,21,41,0,5,0.9254,0.8077,1.0,0.8936,0.9512
41,13,42,2,10,0.8209,0.5652,0.9545,0.6842,0.8379
42,12,42,2,11,0.806,0.5217,0.9545,0.6486,0.8241
43,12,42,4,9,0.806,0.5714,0.913,0.6486,0.8261
44,14,43,3,7,0.8507,0.6667,0.9348,0.7368,0.8209
45,17,38,1,11,0.8209,0.6071,0.9744,0.7391,0.88
46,14,45,3,5,0.8806,0.7368,0.9375,0.7778,0.9254
47,18,34,3,12,0.7761,0.6,0.9189,0.7059,0.7324
48,18,42,0,7,0.8955,0.72,1.0,0.8372,0.8771
49,15,39,3,10,0.806,0.6,0.9286,0.6977,0.8448
50,16,41,3,7,0.8507,0.6957,0.9318,0.7619,0.8706
51,15,39,2,11,0.806,0.5769,0.9512,0.6977,0.7223
52,18,41,2,6,0.8806,0.75,0.9535,0.8182,0.8779
53,23,31,1,12,0.806,0.6571,0.9688,0.7797,0.8313
54,14,43,2,8,0.8507,0.6364,0.9556,0.7368,0.8162
55,12,43,1,11,0.8209,0.5217,0.9773,0.6667,0.7174
56,14,39,0,14,0.791,0.5,1.0,0.6667,0.87
57,17,40,4,6,0.8507,0.7391,0.9091,0.7727,0.8686
58,19,40,2,6,0.8806,0.76,0.9524,0.8261,0.899
59,14,41,2,10,0.8209,0.5833,0.9535,0.7,0.8488
60,21,39,2,5,0.8955,0.8077,0.9512,0.8571,0.9512
61,23,34,1,9,0.8507,0.7188,0.9714,0.8214,0.8527
62,14,48,0,5,0.9254,0.7368,1.0,0.8485,0.9013
63,19,43,2,3,0.9254,0.8636,0.9556,0.8837,0.9404
64,13,47,2,5,0.8955,0.7222,0.9592,0.7879,0.9025
65,10,41,2,14,0.7612,0.4167,0.9535,0.5556,0.7829
66,11,46,2,8,0.8507,0.5789,0.9583,0.6875,0.8048
67,12,44,1,10,0.8358,0.5455,0.9778,0.6857,0.8485
68,15,37,1,14,0.7761,0.5172,0.9737,0.6667,0.7332
69,9,51,1,6,0.8955,0.6,0.9808,0.72,0.9218
70,15,44,4,4,0.8806,0.7895,0.9167,0.7895,0.9112
71,23,34,1,9,0.8507,0.7188,0.9714,0.8214,0.9054
72,14,45,1,7,0.8806,0.6667,0.9783,0.7778,0.9006
73,17,41,4,5,0.8657,0.7727,0.9111,0.7907,0.8889
74,19,40,2,6,0.8806,0.76,0.9524,0.8261,0.861
75,13,43,1,10,0.8358,0.5652,0.9773,0.7027,0.8271
76,23,36,1,7,0.8806,0.7667,0.973,0.8519,0.873
77,9,45,1,12,0.806,0.4286,0.9783,0.5806,0.7174
78,20,40,3,4,0.8955,0.8333,0.9302,0.8511,0.9293
79,16,39,1,11,0.8209,0.5926,0.975,0.7273,0.8611
80,11,49,3,4,0.8955,0.7333,0.9423,0.7586,0.9103
81,15,40,4,8,0.8209,0.6522,0.9091,0.7143,0.7955
82,6,49,1,11,0.8209,0.3529,0.98,0.5,0.6729
83,17,40,2,8,0.8507,0.68,0.9524,0.7727,0.8486
84,19,35,5,8,0.806,0.7037,0.875,0.7451,0.8602
85,13,47,1,6,0.8955,0.6842,0.9792,0.7879,0.8531
86,18,39,2,8,0.8507,0.6923,0.9512,0.7826,0.9184
87,13,40,3,11,0.791,0.5417,0.9302,0.65,0.813
88,17,40,2,8,0.8507,0.68,0.9524,0.7727,0.861
89,16,40,4,7,0.8358,0.6957,0.9091,0.7442,0.8538
90,17,40,1,9,0.8507,0.6538,0.9756,0.7727,0.8715
91,17,40,2,8,0.8507,0.68,0.9524,0.7727,0.881
92,16,40,3,8,0.8358,0.6667,0.9302,0.7442,0.7723
93,10,49,0,8,0.8806,0.5556,1.0,0.7143,0.8583
94,20,41,2,4,0.9104,0.8333,0.9535,0.8696,0.9554
95,14,42,2,9,0.8358,0.6087,0.9545,0.7179,0.8281
96,9,46,1,11,0.8209,0.45,0.9787,0.6,0.7883
97,10,43,2,12,0.791,0.4545,0.9556,0.5882,0.7889
98,10,49,3,5,0.8806,0.6667,0.9423,0.7143,0.8885
99,12,44,3,8,0.8358,0.6,0.9362,0.6857,0.7617
100,20,35,4,8,0.8209,0.7143,0.8974,0.7692,0.8819
101,10,52,0,5,0.9254,0.6667,1.0,0.8,0.9038
102,22,33,4,8,0.8209,0.7333,0.8919,0.7857,0.9027
103,9,45,2,11,0.806,0.45,0.9574,0.5806,0.7074
104,14,44,0,9,0.8657,0.6087,1.0,0.7568,0.8775
105,12,46,2,7,0.8657,0.6316,0.9583,0.7273,0.8191
106,14,44,4,5,0.8657,0.7368,0.9167,0.7568,0.8914
107,18,39,5,5,0.8507,0.7826,0.8864,0.7826,0.8162
108,7,47,2,11,0.806,0.3889,0.9592,0.5185,0.7358
109,15,42,2,8,0.8507,0.6522,0.9545,0.75,0.9298
110,22,33,1,11,0.8209,0.6667,0.9706,0.7857,0.9011
111,15,42,4,6,0.8507,0.7143,0.913,0.75,0.8354
112,17,39,6,5,0.8358,0.7727,0.8667,0.7556,0.9414
113,17,42,2,6,0.8806,0.7391,0.9545,0.8095,0.8241
114,16,43,3,5,0.8806,0.7619,0.9348,0.8,0.8768
115,22,37,0,8,0.8806,0.7333,1.0,0.8462,0.8676
116,10,42,2,13,0.7761,0.4348,0.9545,0.5714,0.6719
117,18,36,1,12,0.806,0.6,0.973,0.7347,0.8243
118,16,41,1,9,0.8507,0.64,0.9762,0.7619,0.7933
119,17,45,3,2,0.9254,0.8947,0.9375,0.8718,0.9419
120,13,40,3,11,0.791,0.5417,0.9302,0.65,0.8149
121,11,43,4,9,0.806,0.55,0.9149,0.6286,0.8404
122,13,34,2,18,0.7015,0.4194,0.9444,0.5652,0.7159
123,14,43,1,9,0.8507,0.6087,0.9773,0.7368,0.8291
124,14,46,1,6,0.8955,0.7,0.9787,0.8,0.9085
125,12,47,1,7,0.8806,0.6316,0.9792,0.75,0.83
126,9,47,3,8,0.8358,0.5294,0.94,0.6207,0.8
127,23,34,3,7,0.8507,0.7667,0.9189,0.8214,0.8928
128,22,32,4,9,0.806,0.7097,0.8889,0.7719,0.862
129,15,41,3,8,0.8358,0.6522,0.9318,0.7317,0.8152
130,16,42,2,7,0.8657,0.6957,0.9545,0.7805,0.8429
131,16,41,2,8,0.8507,0.6667,0.9535,0.7619,0.8566
132,16,44,1,6,0.8955,0.7273,0.9778,0.8205,0.8626
133,17,41,1,8,0.8657,0.68,0.9762,0.7907,0.8362
134,14,45,0,8,0.8806,0.6364,1.0,0.7778,0.8323
135,16,41,3,7,0.8507,0.6957,0.9318,0.7619,0.8646
136,13,42,4,8,0.8209,0.619,0.913,0.6842,0.853
137,14,47,1,5,0.9104,0.7368,0.9792,0.8235,0.8695
138,15,42,1,9,0.8507,0.625,0.9767,0.75,0.9244
139,14,42,2,9,0.8358,0.6087,0.9545,0.7179,0.8893
140,13,43,1,10,0.8358,0.5652,0.9773,0.7027,0.836
141,14,44,1,8,0.8657,0.6364,0.9778,0.7568,0.8374
142,15,35,6,11,0.7463,0.5769,0.8537,0.6383,0.8133
143,21,36,3,7,0.8507,0.75,0.9231,0.8077,0.9212
144,18,44,2,3,0.9254,0.8571,0.9565,0.878,0.9545
145,14,48,1,4,0.9254,0.7778,0.9796,0.8485,0.9342
