round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,21,37,1,8,0.8657,0.7241,0.9737,0.8235,0.9283
2,17,46,2,2,0.9403,0.8947,0.9583,0.8947,0.9627
3,16,44,2,5,0.8955,0.7619,0.9565,0.8205,0.9482
4,14,43,0,10,0.8507,0.5833,1.0,0.7368,0.9293
5,21,36,1,9,0.8507,0.7,0.973,0.8077,0.9333
6,16,45,1,5,0.9104,0.7619,0.9783,0.8421,0.9244
7,12,44,3,8,0.8358,0.6,0.9362,0.6857,0.8798
8,16,43,0,8,0.8806,0.6667,1.0,0.8,0.939
9,18,38,0,11,0.8358,0.6207,1.0,0.766,0.9338
10,17,42,0,8,0.8806,0.68,1.0,0.8095,0.9362
11,15,45,1,6,0.8955,0.7143,0.9783,0.8108,0.913
12,16,45,2,4,0.9104,0.8,0.9574,0.8421,0.9479
13,11,46,1,9,0.8507,0.55,0.9787,0.6875,0.8894
14,20,40,1,6,0.8955,0.7692,0.9756,0.8511,0.9578
15,11,45,2,9,0.8358,0.55,0.9574,0.6667,0.8947
16,13,42,0,12,0.8209,0.52,1.0,0.6842,0.88
17,12,49,1,5,0.9104,0.7059,0.98,0.8,0.9176
18,20,36,3,8,0.8358,0.7143,0.9231,0.7843,0.9451
19,21,42,0,4,0.9403,0.84,1.0,0.913,0.9533
20,15,43,0,9,0.8657,0.625,1.0,0.7692,0.8847
21,13,45,2,7,0.8657,0.65,0.9574,0.7429,0.9128
22,14,45,0,8,0.8806,0.6364,1.0,0.7778,0.9515
23,14,45,0,8,0.8806,0.6364,1.0,0.7778,0.9242
24,14,43,1,9,0.8507,0.6087,0.9773,0.7368,0.8992
25,13,48,2,4,0.9104,0.7647,0.96,0.8125,0.9588
26,12,50,0,5,0.9254,0.7059,1.0,0.8276,0.9129
27,12,49,0,6,0.9104,0.6667,1.0,0.8,0.9286
28,16,46,1,4,0.9254,0.8,0.9787,0.8649,0.966
29,21,44,1,1,0.9701,0.9545,0.9778,0.9545,0.997
30,9,50,0,8,0.8806,0.5294,1.0,0.6923,0.8694
31,13,45,1,8,0.8657,0.619,0.9783,0.7429,0.8861
32,16,38,1,12,0.806,0.5714,0.9744,0.7111,0.8553
33,15,43,0,9,0.8657,0.625,1.0,0.7692,0.9089
34,9,51,2,5,0.8955,0.6429,0.9623,0.72,0.934
35,16,41,2,8,0.8507,0.6667,0.9535,0.7619,0.8818
36,19,38,2,8,0.8507,0.7037,0.95,0.7917,0.9241
37,17,38,1,11,0.8209,0.6071,0.9744,0.7391,0.946
38,16,44,0,7,0.8955,0.6957,1.0,0.8205,0.9486
39,21,41,0,5,0.9254,0.8077,1.0,0.8936,0.9418
40,21,41,0,5,0.9254,0.8077,1.0,0.8936,0.9522
41,13,43,1,10,0.8358,0.5652,0.9773,0.7027,0.8498
42,12,43,1,11,0.8209,0.5217,0.9773,0.6667,0.915
43,12,44,2,9,0.8358,0.5714,0.9565,0.6857,0.882
44,14,45,1,7,0.8806,0.6667,0.9783,0.7778,0.9068
45,17,38,1,11,0.8209,0.6071,0.9744,0.7391,0.9121
46,14,47,1,5,0.9104,0.7368,0.9792,0.8235,0.9375
47,18,36,1,12,0.806,0.6,0.973,0.7347,0.8541
48,18,42,0,7,0.8955,0.72,1.0,0.8372,0.9238
49,15,42,0,10,0.8507,0.6,1.0,0.75,0.9086
50,16,43,1,7,0.8806,0.6957,0.9773,0.8,0.916
51,15,39,2,11,0.806,0.5769,0.9512,0.6977,0.9128
52,18,42,1,6,0.8955,0.75,0.9767,0.8372,0.9341
53,23,31,1,12,0.806,0.6571,0.9688,0.7797,0.9071
54,14,44,1,8,0.8657,0.6364,0.9778,0.7568,0.896
55,12,44,0,11,0.8358,0.5217,1.0,0.6857,0.9595
56,14,39,0,14,0.791,0.5,1.0,0.6667,0.9048
57,17,43,1,6,0.8955,0.7391,0.9773,0.8293,0.9259
58,19,41,1,6,0.8955,0.76,0.9762,0.8444,0.9448
59,14,41,2,10,0.8209,0.5833,0.9535,0.7,0.9264
60,21,40,1,5,0.9104,0.8077,0.9756,0.875,0.9512
61,23,35,0,9,0.8657,0.7188,1.0,0.8364,0.9714
62,14,48,0,5,0.9254,0.7368,1.0,0.8485,0.9386
63,19,44,1,3,0.9403,0.8636,0.9778,0.9048,0.9525
64,13,47,2,5,0.8955,0.7222,0.9592,0.7879,0.915
65,10,43,0,14,0.791,0.4167,1.0,0.5882,0.8556
66,11,48,0,8,0.8806,0.5789,1.0,0.7333,0.8816
67,12,44,1,10,0.8358,0.5455,0.9778,0.6857,0.8939
68,15,38,0,14,0.791,0.5172,1.0,0.6818,0.8739
69,9,51,1,6,0.8955,0.6,0.9808,0.72,0.9038
70,15,46,2,4,0.9104,0.7895,0.9583,0.8333,0.943
71,23,34,1,9,0.8507,0.7188,0.9714,0.8214,0.933
72,14,45,1,7,0.8806,0.6667,0.9783,0.7778,0.9172
73,17,42,3,5,0.8806,0.7727,0.9333,0.8095,0.9717
74,19,41,1,6,0.8955,0.76,0.9762,0.8444,0.9514
75,13,43,1,10,0.8358,0.5652,0.9773,0.7027,0.9457
76,23,36,1,7,0.8806,0.7667,0.973,0.8519,0.9631
77,9,46,0,12,0.8209,0.4286,1.0,0.6,0.8478
78,20,41,2,4,0.9104,0.8333,0.9535,0.8696,0.9545
79,16,40,0,11,0.8358,0.5926,1.0,0.7442,0.887
80,11,51,1,4,0.9254,0.7333,0.9808,0.8148,0.8846
