round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,13,40,4,11,0.7794,0.5417,0.9091,0.6341,0.7623
2,4,47,6,11,0.75,0.2667,0.8868,0.32,0.6528
3,11,44,4,9,0.8088,0.55,0.9167,0.6286,0.7719
4,14,41,8,5,0.8088,0.7368,0.8367,0.6829,0.9431
5,13,40,4,11,0.7794,0.5417,0.9091,0.6341,0.8485
6,8,45,7,8,0.7794,0.5,0.8654,0.5161,0.8377
7,6,47,6,9,0.7794,0.4,0.8868,0.4444,0.8088
8,7,45,6,10,0.7647,0.4118,0.8824,0.4667,0.8604
9,11,40,6,11,0.75,0.5,0.8696,0.5641,0.7836
10,6,40,9,13,0.6765,0.3158,0.8163,0.3529,0.6896
11,10,42,7,9,0.7647,0.5263,0.8571,0.5556,0.7723
12,10,46,4,8,0.8235,0.5556,0.92,0.625,0.8333
13,8,47,5,8,0.8088,0.5,0.9038,0.5517,0.8161
14,7,43,6,12,0.7353,0.3684,0.8776,0.4375,0.8056
15,13,45,6,4,0.8529,0.7647,0.8824,0.7222,0.8973
16,10,41,6,11,0.75,0.4762,0.8723,0.5405,0.7629
17,5,51,4,8,0.8235,0.3846,0.9273,0.4545,0.6657
18,11,43,3,11,0.7941,0.5,0.9348,0.6111,0.8439
19,13,43,4,8,0.8235,0.619,0.9149,0.6842,0.8936
20,9,45,8,6,0.7941,0.6,0.8491,0.5625,0.8566
21,7,48,7,6,0.8088,0.5385,0.8727,0.5185,0.8531
22,11,45,4,8,0.8235,0.5789,0.9184,0.6471,0.8099
23,4,47,7,10,0.75,0.2857,0.8704,0.32,0.6799
24,8,48,8,4,0.8235,0.6667,0.8571,0.5714,0.8542
25,7,52,3,6,0.8676,0.5385,0.9455,0.6087,0.8126
26,9,49,5,5,0.8529,0.6429,0.9074,0.6429,0.8254
27,9,50,1,8,0.8676,0.5294,0.9804,0.6667,0.7797
28,7,46,4,11,0.7794,0.3889,0.92,0.4828,0.7189
29,11,39,9,9,0.7353,0.55,0.8125,0.55,0.7802
30,6,52,4,6,0.8529,0.5,0.9286,0.5455,0.8051
31,12,39,11,6,0.75,0.6667,0.78,0.5854,0.8311
32,6,43,6,13,0.7206,0.3158,0.8776,0.3871,0.7938
33,9,49,1,9,0.8529,0.5,0.98,0.6429,0.9267
34,5,51,7,5,0.8235,0.5,0.8793,0.4545,0.8603
35,9,46,6,7,0.8088,0.5625,0.8846,0.5806,0.8594
36,10,45,3,10,0.8088,0.5,0.9375,0.6061,0.8698
37,6,38,10,14,0.6471,0.3,0.7917,0.3333,0.7552
38,10,51,2,5,0.8971,0.6667,0.9623,0.7407,0.8969
39,10,44,5,9,0.7941,0.5263,0.898,0.5882,0.754
40,10,42,8,8,0.7647,0.5556,0.84,0.5556,0.8378
41,11,42,7,8,0.7794,0.5789,0.8571,0.5946,0.8335
42,10,42,5,11,0.7647,0.4762,0.8936,0.5556,0.7791
43,9,50,5,4,0.8676,0.6923,0.9091,0.6667,0.8587
44,12,46,5,5,0.8529,0.7059,0.902,0.7059,0.8789
45,8,40,8,12,0.7059,0.4,0.8333,0.4444,0.7094
46,13,43,8,4,0.8235,0.7647,0.8431,0.6842,0.8501
47,15,39,2,12,0.7941,0.5556,0.9512,0.6818,0.9187
48,9,43,3,13,0.7647,0.4091,0.9348,0.5294,0.835
49,14,45,2,7,0.8676,0.6667,0.9574,0.7568,0.8764
50,7,49,6,6,0.8235,0.5385,0.8909,0.5385,0.8699
51,14,34,6,14,0.7059,0.5,0.85,0.5833,0.8143
52,6,52,4,6,0.8529,0.5,0.9286,0.5455,0.875
53,12,38,5,13,0.7353,0.48,0.8837,0.5714,0.8065
54,10,42,7,9,0.7647,0.5263,0.8571,0.5556,0.8217
55,10,48,2,8,0.8529,0.5556,0.96,0.6667,0.8811
56,10,43,5,10,0.7794,0.5,0.8958,0.5714,0.7562
57,5,44,6,13,0.7206,0.2778,0.88,0.3448,0.6589
58,12,42,5,9,0.7941,0.5714,0.8936,0.6316,0.8723
59,7,41,6,14,0.7059,0.3333,0.8723,0.4118,0.7295
60,12,43,5,8,0.8088,0.6,0.8958,0.6486,0.8115
61,12,33,6,17,0.6618,0.4138,0.8462,0.5106,0.7586
62,7,47,7,7,0.7941,0.5,0.8704,0.5,0.8056
63,8,48,4,8,0.8235,0.5,0.9231,0.5714,0.9123
64,4,50,4,10,0.7941,0.2857,0.9259,0.3636,0.7672
65,15,44,5,4,0.8676,0.7895,0.898,0.7692,0.9506
66,10,49,3,6,0.8676,0.625,0.9423,0.6897,0.8762
67,12,43,6,7,0.8088,0.6316,0.8776,0.6486,0.8593
68,12,38,9,9,0.7353,0.5714,0.8085,0.5714,0.8835
69,10,50,6,2,0.8824,0.8333,0.8929,0.7143,0.9107
70,10,49,5,4,0.8676,0.7143,0.9074,0.6897,0.8558
71,12,41,3,12,0.7794,0.5,0.9318,0.6154,0.8314
72,5,55,3,5,0.8824,0.5,0.9483,0.5556,0.881
73,9,43,4,12,0.7647,0.4286,0.9149,0.5294,0.7467
74,8,45,5,10,0.7794,0.4444,0.9,0.5161,0.8133
75,6,39,8,15,0.6618,0.2857,0.8298,0.3429,0.6251
76,13,37,3,15,0.7353,0.4643,0.925,0.5909,0.767
77,8,46,4,10,0.7941,0.4444,0.92,0.5333,0.8411
78,8,44,6,10,0.7647,0.4444,0.88,0.5,0.7822
79,8,46,5,9,0.7941,0.4706,0.902,0.5333,0.8062
80,7,46,9,6,0.7794,0.5385,0.8364,0.4828,0.8238
81,9,47,2,10,0.8235,0.4737,0.9592,0.6,0.8647
82,12,47,2,7,0.8676,0.6316,0.9592,0.7273,0.8883
83,12,43,6,7,0.8088,0.6316,0.8776,0.6486,0.8625
84,9,41,4,14,0.7353,0.3913,0.9111,0.5,0.7072
85,8,45,5,10,0.7794,0.4444,0.9,0.5161,0.7933
86,12,45,5,6,0.8382,0.6667,0.9,0.6857,0.8456
87,13,39,6,10,0.7647,0.5652,0.8667,0.619,0.8541
88,11,49,3,5,0.8824,0.6875,0.9423,0.7333,0.9459
89,7,43,6,12,0.7353,0.3684,0.8776,0.4375,0.7691
