round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,12,43,1,12,0.8088,0.5,0.9773,0.6486,0.8532
2,6,51,2,9,0.8382,0.4,0.9623,0.5217,0.8868
3,10,47,1,10,0.8382,0.5,0.9792,0.6452,0.775
4,13,45,4,6,0.8529,0.6842,0.9184,0.7222,0.9119
5,10,40,4,14,0.7353,0.4167,0.9091,0.5263,0.8731
6,6,51,1,10,0.8382,0.375,0.9808,0.5217,0.887
7,5,49,4,10,0.7941,0.3333,0.9245,0.4167,0.7975
8,4,48,3,13,0.7647,0.2353,0.9412,0.3333,0.8939
9,14,44,2,8,0.8529,0.6364,0.9565,0.7368,0.8864
10,6,45,4,13,0.75,0.3158,0.9184,0.4138,0.7003
11,10,45,4,9,0.8088,0.5263,0.9184,0.6061,0.8335
12,11,48,2,7,0.8676,0.6111,0.96,0.7097,0.9256
13,8,51,1,8,0.8676,0.5,0.9808,0.64,0.8738
14,7,47,2,12,0.7941,0.3684,0.9592,0.5,0.8217
15,13,48,3,4,0.8971,0.7647,0.9412,0.7879,0.9308
16,11,43,4,10,0.7941,0.5238,0.9149,0.6111,0.8886
17,6,53,2,7,0.8676,0.4615,0.9636,0.5714,0.8587
18,12,45,1,10,0.8382,0.5455,0.9783,0.6857,0.8646
19,12,44,3,9,0.8235,0.5714,0.9362,0.6667,0.9098
20,7,51,2,8,0.8529,0.4667,0.9623,0.5833,0.8503
21,6,51,4,7,0.8382,0.4615,0.9273,0.5217,0.8769
22,10,46,3,9,0.8235,0.5263,0.9388,0.625,0.8614
23,5,51,3,9,0.8235,0.3571,0.9444,0.4545,0.7063
24,9,54,2,3,0.9265,0.75,0.9643,0.7826,0.9494
25,7,54,1,6,0.8971,0.5385,0.9818,0.6667,0.8238
26,7,50,4,7,0.8382,0.5,0.9259,0.56,0.8942
27,12,50,1,5,0.9118,0.7059,0.9804,0.8,0.8616
28,7,48,2,11,0.8088,0.3889,0.96,0.5185,0.7833
29,9,41,7,11,0.7353,0.45,0.8542,0.5,0.7833
30,6,54,2,6,0.8824,0.5,0.9643,0.6,0.8229
31,8,48,2,10,0.8235,0.4444,0.96,0.5714,0.84
32,6,48,1,13,0.7941,0.3158,0.9796,0.4615,0.8378
33,7,49,1,11,0.8235,0.3889,0.98,0.5385,0.9389
34,5,56,2,5,0.8971,0.5,0.9655,0.5882,0.8534
35,7,50,2,9,0.8382,0.4375,0.9615,0.56,0.9075
36,11,46,2,9,0.8382,0.55,0.9583,0.6667,0.8688
37,7,44,4,13,0.75,0.35,0.9167,0.4516,0.8167
38,11,52,1,4,0.9265,0.7333,0.9811,0.8148,0.9623
39,13,47,2,6,0.8824,0.6842,0.9592,0.7647,0.8432
40,10,46,4,8,0.8235,0.5556,0.92,0.625,0.8744
41,12,46,3,7,0.8529,0.6316,0.9388,0.7059,0.8464
42,12,43,4,9,0.8088,0.5714,0.9149,0.6486,0.8308
43,9,51,4,4,0.8824,0.6923,0.9273,0.6923,0.9077
44,11,48,3,6,0.8676,0.6471,0.9412,0.7097,0.9193
45,10,44,4,10,0.7941,0.5,0.9167,0.5882,0.7906
46,14,48,3,3,0.9118,0.8235,0.9412,0.8235,0.9389
47,15,40,1,12,0.8088,0.5556,0.9756,0.6977,0.9359
48,10,45,1,12,0.8088,0.4545,0.9783,0.6061,0.9051
49,14,45,2,7,0.8676,0.6667,0.9574,0.7568,0.9402
50,7,53,2,6,0.8824,0.5385,0.9636,0.6364,0.9063
51,12,39,1,16,0.75,0.4286,0.975,0.5854,0.8589
52,7,54,2,5,0.8971,0.5833,0.9643,0.6667,0.9464
53,12,40,3,13,0.7647,0.48,0.9302,0.6,0.8623
