round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,13,43,1,11,0.8235,0.5417,0.9773,0.6842,0.857
2,6,51,2,9,0.8382,0.4,0.9623,0.5217,0.8956
3,11,47,1,9,0.8529,0.55,0.9792,0.6875,0.8135
4,14,42,7,5,0.8235,0.7368,0.8571,0.7,0.8722
5,14,40,4,10,0.7941,0.5833,0.9091,0.6667,0.858
6,9,50,2,7,0.8676,0.5625,0.9615,0.6667,0.8714
7,7,48,5,8,0.8088,0.4667,0.9057,0.5185,0.7824
8,7,47,4,10,0.7941,0.4118,0.9216,0.5,0.8431
9,14,44,2,8,0.8529,0.6364,0.9565,0.7368,0.8834
10,6,44,5,13,0.7353,0.3158,0.898,0.4,0.6434
11,10,45,4,9,0.8088,0.5263,0.9184,0.6061,0.84
12,11,48,2,7,0.8676,0.6111,0.96,0.7097,0.9322
13,8,49,3,8,0.8382,0.5,0.9423,0.5926,0.8546
14,7,47,2,12,0.7941,0.3684,0.9592,0.5,0.8088
15,14,47,4,3,0.8971,0.8235,0.9216,0.8,0.9377
16,11,42,5,10,0.7794,0.5238,0.8936,0.5946,0.8267
17,6,52,3,7,0.8529,0.4615,0.9455,0.5455,0.849
18,12,44,2,10,0.8235,0.5455,0.9565,0.6667,0.8488
19,14,43,4,7,0.8382,0.6667,0.9149,0.7179,0.9179
20,9,47,6,6,0.8235,0.6,0.8868,0.6,0.8302
21,7,49,6,6,0.8235,0.5385,0.8909,0.5385,0.8699
22,12,46,3,7,0.8529,0.6316,0.9388,0.7059,0.8314
23,5,51,3,9,0.8235,0.3571,0.9444,0.4545,0.6786
24,9,51,5,3,0.8824,0.75,0.9107,0.6923,0.9464
25,7,54,1,6,0.8971,0.5385,0.9818,0.6667,0.7832
26,9,49,5,5,0.8529,0.6429,0.9074,0.6429,0.8862
27,12,50,1,5,0.9118,0.7059,0.9804,0.8,0.8466
28,8,48,2,10,0.8235,0.4444,0.96,0.5714,0.8211
29,12,41,7,8,0.7794,0.6,0.8542,0.6154,0.7833
30,6,52,4,6,0.8529,0.5,0.9286,0.5455,0.8006
31,13,46,4,5,0.8676,0.7222,0.92,0.7429,0.8856
32,6,46,3,13,0.7647,0.3158,0.9388,0.4286,0.8131
33,10,49,1,8,0.8676,0.5556,0.98,0.6897,0.87
34,5,55,3,5,0.8824,0.5,0.9483,0.5556,0.8172
35,9,48,4,7,0.8382,0.5625,0.9231,0.6207,0.9147
36,11,45,3,9,0.8235,0.55,0.9375,0.6471,0.8406
37,7,42,6,13,0.7206,0.35,0.875,0.4242,0.7385
38,11,51,2,4,0.9118,0.7333,0.9623,0.7857,0.9585
39,13,46,3,6,0.8676,0.6842,0.9388,0.7429,0.8464
40,10,44,6,8,0.7941,0.5556,0.88,0.5882,0.8633
41,12,45,4,7,0.8382,0.6316,0.9184,0.6857,0.8228
42,12,43,4,9,0.8088,0.5714,0.9149,0.6486,0.8257
43,10,50,5,3,0.8824,0.7692,0.9091,0.7143,0.8979
44,13,48,3,4,0.8971,0.7647,0.9412,0.7879,0.9146
45,10,41,7,10,0.75,0.5,0.8542,0.5405,0.7729
46,15,47,4,2,0.9118,0.8824,0.9216,0.8333,0.9227
47,16,40,1,11,0.8235,0.5926,0.9756,0.7273,0.9196
48,11,45,1,11,0.8235,0.5,0.9783,0.6471,0.8933
49,15,45,2,6,0.8824,0.7143,0.9574,0.7895,0.9453
50,8,51,4,5,0.8676,0.6154,0.9273,0.64,0.8783
51,15,38,2,13,0.7794,0.5357,0.95,0.6667,0.8054
52,8,53,3,4,0.8971,0.6667,0.9464,0.6957,0.9167
53,13,39,4,12,0.7647,0.52,0.907,0.619,0.8577
54,10,45,4,9,0.8088,0.5263,0.9184,0.6061,0.8808
55,10,49,1,8,0.8676,0.5556,0.98,0.6897,0.7944
56,12,44,4,8,0.8235,0.6,0.9167,0.6667,0.8135
57,6,45,5,12,0.75,0.3333,0.9,0.4138,0.7178
58,12,45,2,9,0.8382,0.5714,0.9574,0.6857,0.9271
59,8,42,5,13,0.7353,0.381,0.8936,0.4706,0.7244
60,12,47,1,8,0.8676,0.6,0.9792,0.7273,0.825
61,14,35,4,15,0.7206,0.4828,0.8974,0.5957,0.7869
62,8,50,4,6,0.8529,0.5714,0.9259,0.6154,0.8466
63,9,50,2,7,0.8676,0.5625,0.9615,0.6667,0.9675
64,4,51,3,10,0.8088,0.2857,0.9444,0.381,0.7249
65,16,47,2,3,0.9265,0.8421,0.9592,0.8649,0.9613
66,11,49,3,5,0.8824,0.6875,0.9423,0.7333,0.8774
67,14,46,3,5,0.8824,0.7368,0.9388,0.7778,0.9087
68,12,44,3,9,0.8235,0.5714,0.9362,0.6667,0.8308
69,10,53,3,2,0.9265,0.8333,0.9464,0.8,0.9122
70,10,51,3,4,0.8971,0.7143,0.9444,0.7407,0.9008
71,14,41,3,10,0.8088,0.5833,0.9318,0.6829,0.8731
72,5,57,1,5,0.9118,0.5,0.9828,0.625,0.9483
73,9,46,1,12,0.8088,0.4286,0.9787,0.5806,0.7335
74,8,47,3,10,0.8088,0.4444,0.94,0.5517,0.8289
75,7,44,3,14,0.75,0.3333,0.9362,0.4516,0.7244
76,17,39,1,11,0.8235,0.6071,0.975,0.7391,0.8482
77,9,48,2,9,0.8382,0.5,0.96,0.6207,0.8422
78,8,45,5,10,0.7794,0.4444,0.9,0.5161,0.8233
79,8,47,4,9,0.8088,0.4706,0.9216,0.5517,0.7832
80,7,49,6,6,0.8235,0.5385,0.8909,0.5385,0.8545
81,9,48,1,10,0.8382,0.4737,0.9796,0.6207,0.8142
82,14,48,1,5,0.9118,0.7368,0.9796,0.8235,0.8754
83,12,47,2,7,0.8676,0.6316,0.9592,0.7273,0.8754
84,10,42,3,13,0.7647,0.4348,0.9333,0.5556,0.7604
85,9,47,3,9,0.8235,0.5,0.94,0.6,0.8644
86,13,48,2,5,0.8971,0.7222,0.96,0.7879,0.9433
87,13,41,4,10,0.7941,0.5652,0.9111,0.65,0.8444
88,11,50,2,5,0.8971,0.6875,0.9615,0.7586,0.9014
89,8,45,4,11,0.7794,0.4211,0.9184,0.5161,0.7991
90,17,46,2,3,0.9265,0.85,0.9583,0.8718,0.9437
91,15,47,1,5,0.9118,0.75,0.9792,0.8333,0.9
92,8,46,2,12,0.7941,0.4,0.9583,0.5333,0.8073
93,8,53,3,4,0.8971,0.6667,0.9464,0.6957,0.9122
94,11,48,2,7,0.8676,0.6111,0.96,0.7097,0.9189
95,12,49,3,4,0.8971,0.75,0.9423,0.7742,0.9171
96,7,50,4,7,0.8382,0.5,0.9259,0.56,0.7857
97,10,49,3,6,0.8676,0.625,0.9423,0.6897,0.8462
98,8,55,1,4,0.9265,0.6667,0.9821,0.7619,0.9211
99,10,50,2,6,0.8824,0.625,0.9615,0.7143,0.9231
100,8,40,8,12,0.7059,0.4,0.8333,0.4444,0.65
101,6,48,7,7,0.7941,0.4615,0.8727,0.4615,0.7846
102,11,42,5,10,0.7794,0.5238,0.8936,0.5946,0.8308
103,12,43,3,10,0.8088,0.5455,0.9348,0.6486,0.831
104,8,48,5,7,0.8235,0.5333,0.9057,0.5714,0.8755
105,11,49,0,8,0.8824,0.5789,1.0,0.7333,0.7948
106,10,53,0,5,0.9265,0.6667,1.0,0.8,0.8654
107,10,45,3,10,0.8088,0.5,0.9375,0.6061,0.8281
108,9,50,4,5,0.8676,0.6429,0.9259,0.6667,0.8347
109,13,46,4,5,0.8676,0.7222,0.92,0.7429,0.8633
110,11,37,6,14,0.7059,0.44,0.8605,0.5238,0.7656
111,8,50,0,10,0.8529,0.4444,1.0,0.6154,0.9
112,13,46,1,8,0.8676,0.619,0.9787,0.7429,0.8551
113,12,44,1,11,0.8235,0.5217,0.9778,0.6667,0.856
114,7,49,3,9,0.8235,0.4375,0.9423,0.5385,0.768
115,10,48,3,7,0.8529,0.5882,0.9412,0.6667,0.8039
116,11,42,6,9,0.7794,0.55,0.875,0.5946,0.7635
117,14,42,2,10,0.8235,0.5833,0.9545,0.7,0.7955
118,11,45,2,10,0.8235,0.5238,0.9574,0.6471,0.7812
119,7,48,2,11,0.8088,0.3889,0.96,0.5185,0.8122
120,6,45,6,11,0.75,0.3529,0.8824,0.4138,0.722
121,13,50,2,3,0.9265,0.8125,0.9615,0.8387,0.8894
122,14,40,3,11,0.7941,0.56,0.9302,0.6667,0.8391
123,7,49,4,8,0.8235,0.4667,0.9245,0.5385,0.8365
124,7,45,4,12,0.7647,0.3684,0.9184,0.4667,0.7916
125,8,52,1,7,0.8824,0.5333,0.9811,0.6667,0.8025
126,6,50,4,8,0.8235,0.4286,0.9259,0.5,0.7368
127,15,36,4,13,0.75,0.5357,0.9,0.6383,0.8509
128,17,40,0,11,0.8382,0.6071,1.0,0.7556,0.8911
129,9,43,4,12,0.7647,0.4286,0.9149,0.5294,0.7933
130,7,46,3,12,0.7794,0.3684,0.9388,0.4828,0.7583
131,9,49,1,9,0.8529,0.5,0.98,0.6429,0.8644
132,12,50,1,5,0.9118,0.7059,0.9804,0.8,0.9181
133,8,47,4,9,0.8088,0.4706,0.9216,0.5517,0.7889
134,9,49,3,7,0.8529,0.5625,0.9423,0.6429,0.8281
135,11,46,2,9,0.8382,0.55,0.9583,0.6667,0.8385
136,12,47,3,6,0.8676,0.6667,0.94,0.7273,0.9011
137,7,52,3,6,0.8676,0.5385,0.9455,0.6087,0.8434
138,10,47,5,6,0.8382,0.625,0.9038,0.6452,0.8678
139,7,48,6,7,0.8088,0.5,0.8889,0.5185,0.8466
140,5,45,4,14,0.7353,0.2632,0.9184,0.3571,0.7089
141,11,44,5,8,0.8088,0.5789,0.898,0.6286,0.8346
142,12,44,3,9,0.8235,0.5714,0.9362,0.6667,0.8693
143,15,43,4,6,0.8529,0.7143,0.9149,0.75,0.9119
144,8,49,4,7,0.8382,0.5333,0.9245,0.5926,0.8516
145,10,53,1,4,0.9265,0.7143,0.9815,0.8,0.9048
146,6,47,5,10,0.7794,0.375,0.9038,0.4444,0.7392
147,13,47,2,6,0.8824,0.6842,0.9592,0.7647,0.8904
148,12,49,0,7,0.8971,0.6316,1.0,0.7742,0.9742
149,14,51,1,2,0.9559,0.875,0.9808,0.9032,0.9423
150,11,47,1,9,0.8529,0.55,0.9792,0.6875,0.8958
151,13,47,1,7,0.8824,0.65,0.9792,0.7647,0.9302
152,10,56,2,0,0.9706,1.0,0.9655,0.9091,0.9845
153,10,46,3,9,0.8235,0.5263,0.9388,0.625,0.8733
154,12,49,2,5,0.8971,0.7059,0.9608,0.7742,0.9054
155,12,43,3,10,0.8088,0.5455,0.9348,0.6486,0.8597
156,11,46,2,9,0.8382,0.55,0.9583,0.6667,0.8469
157,7,45,8,8,0.7647,0.4667,0.8491,0.4667,0.7824
158,11,47,4,6,0.8529,0.6471,0.9216,0.6875,0.8604
159,8,39,4,17,0.6912,0.32,0.907,0.4324,0.694
160,13,44,4,7,0.8382,0.65,0.9167,0.7027,0.8521
161,8,54,1,5,0.9118,0.6154,0.9818,0.7273,0.8503
162,15,48,1,4,0.9265,0.7895,0.9796,0.8571,0.9151
163,8,56,1,3,0.9412,0.7273,0.9825,0.8,0.9649
164,9,50,3,6,0.8676,0.6,0.9434,0.6667,0.8465
165,12,44,1,11,0.8235,0.5217,0.9778,0.6667,0.9034
166,8,45,7,8,0.7794,0.5,0.8654,0.5161,0.8221
167,8,47,3,10,0.8088,0.4444,0.94,0.5517,0.7911
168,7,48,3,10,0.8088,0.4118,0.9412,0.5185,0.7751
169,10,41,7,10,0.75,0.5,0.8542,0.5405,0.7823
170,9,52,2,5,0.8971,0.6429,0.963,0.72,0.8161
171,6,48,2,12,0.7941,0.3333,0.96,0.4615,0.7244
172,9,49,1,9,0.8529,0.5,0.98,0.6429,0.7533
173,10,48,2,8,0.8529,0.5556,0.96,0.6667,0.8844
