round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,0,7,0,4,0.6364,0.0,1.0,0,0.6786
3,0,6,0,5,0.5455,0.0,1.0,0,0.4333
4,0,9,0,2,0.8182,0.0,1.0,0,0.5556
5,0,7,0,4,0.6364,0.0,1.0,0,0.2857
6,0,10,0,1,0.9091,0.0,1.0,0,0.0
7,0,8,0,3,0.7273,0.0,1.0,0,0.25
8,0,6,0,5,0.5455,0.0,1.0,0,0.4667
9,0,9,0,2,0.8182,0.0,1.0,0,0.6667
10,0,7,0,4,0.6364,0.0,1.0,0,0.6429
11,0,10,0,1,0.9091,0.0,1.0,0,0.6
12,0,6,0,5,0.5455,0.0,1.0,0,0.5667
13,0,9,0,2,0.8182,0.0,1.0,0,0.6667
14,0,7,0,4,0.6364,0.0,1.0,0,0.3214
15,0,6,0,5,0.5455,0.0,1.0,0,0.6667
16,0,7,0,4,0.6364,0.0,1.0,0,0.3929
17,0,9,0,2,0.8182,0.0,1.0,0,0.2778
18,0,10,0,1,0.9091,0.0,1.0,0,0.9
19,0,9,0,2,0.8182,0.0,1.0,0,0.5
20,0,9,0,2,0.8182,0.0,1.0,0,0.5556
21,0,7,0,4,0.6364,0.0,1.0,0,0.1071
22,0,10,0,1,0.9091,0.0,1.0,0,0.4
23,0,5,0,6,0.4545,0.0,1.0,0,0.4333
24,0,8,0,3,0.7273,0.0,1.0,0,0.6667
25,0,10,0,1,0.9091,0.0,1.0,0,0.6
26,0,9,0,2,0.8182,0.0,1.0,0,0.0
27,0,10,0,1,0.9091,0.0,1.0,0,0.3
28,0,10,0,1,0.9091,0.0,1.0,0,0.4
29,0,9,0,2,0.8182,0.0,1.0,0,0.6667
30,0,10,0,1,0.9091,0.0,1.0,0,0.5
31,0,9,0,2,0.8182,0.0,1.0,0,0.4444
32,0,8,0,3,0.7273,0.0,1.0,0,0.2917
33,0,7,0,4,0.6364,0.0,1.0,0,0.5
34,0,7,0,4,0.6364,0.0,1.0,0,0.2143
35,0,9,0,2,0.8182,0.0,1.0,0,0.2222
36,0,7,0,4,0.6364,0.0,1.0,0,0.2143
38,0,7,0,4,0.6364,0.0,1.0,0,0.2857
39,0,7,0,4,0.6364,0.0,1.0,0,0.5714
40,0,10,0,1,0.9091,0.0,1.0,0,0.5
41,0,8,0,3,0.7273,0.0,1.0,0,0.5417
42,0,8,0,3,0.7273,0.0,1.0,0,0.375
43,0,9,0,2,0.8182,0.0,1.0,0,0.2222
44,0,9,0,2,0.8182,0.0,1.0,0,0.5556
45,0,9,0,2,0.8182,0.0,1.0,0,0.4444
46,0,5,0,6,0.4545,0.0,1.0,0,0.2
47,0,7,0,4,0.6364,0.0,1.0,0,0.5
48,0,10,0,1,0.9091,0.0,1.0,0,0.4
49,0,8,0,3,0.7273,0.0,1.0,0,0.75
50,0,8,0,3,0.7273,0.0,1.0,0,0.25
