round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,0,7,1,3,0.6364,0.0,0.875,0,0.125
3,0,6,3,2,0.5455,0.0,0.6667,0,0.2222
9,0,9,0,2,0.8182,0.0,1.0,0,0.6667
11,0,10,0,1,0.9091,0.0,1.0,0,0.3
12,0,7,3,1,0.6364,0.0,0.7,0,0.1
13,0,9,0,2,0.8182,0.0,1.0,0,0.1111
14,0,7,3,1,0.6364,0.0,0.7,0,0.0
15,0,10,0,1,0.9091,0.0,1.0,0,0.2
16,0,8,1,2,0.7273,0.0,0.8889,0,0.3333
18,0,8,2,1,0.7273,0.0,0.8,0,0.4
19,0,8,2,1,0.7273,0.0,0.8,0,0.2
20,0,8,1,2,0.7273,0.0,0.8889,0,0.3333
21,0,8,1,2,0.7273,0.0,0.8889,0,0.1111
23,0,7,3,1,0.6364,0.0,0.7,0,0.0
24,0,9,1,1,0.8182,0.0,0.9,0,0.2
25,0,10,0,1,0.9091,0.0,1.0,0,0.6
28,0,10,0,1,0.9091,0.0,1.0,0,0.2
29,0,8,1,2,0.7273,0.0,0.8889,0,0.3333
32,0,6,4,1,0.5455,0.0,0.6,0,0.2
33,0,7,3,1,0.6364,0.0,0.7,0,0.3
36,0,7,3,1,0.6364,0.0,0.7,0,0.2
44,0,8,1,2,0.7273,0.0,0.8889,0,0.3333
45,0,7,3,1,0.6364,0.0,0.7,0,0.4
47,0,8,2,1,0.7273,0.0,0.8,0,0.1
50,0,10,0,1,0.9091,0.0,1.0,0,0.1
51,0,9,1,1,0.8182,0.0,0.9,0,0.0
52,0,7,3,1,0.6364,0.0,0.7,0,0.0
53,0,6,4,1,0.5455,0.0,0.6,0,0.2
54,0,7,3,1,0.6364,0.0,0.7,0,0.2
55,0,10,0,1,0.9091,0.0,1.0,0,0.1
58,0,9,1,1,0.8182,0.0,0.9,0,0.0
59,0,9,1,1,0.8182,0.0,0.9,0,0.2
61,0,10,0,1,0.9091,0.0,1.0,0,0.2
62,0,6,4,1,0.5455,0.0,0.6,0,0.1
63,0,8,2,1,0.7273,0.0,0.8,0,0.4
64,0,8,1,2,0.7273,0.0,0.8889,0,0.3333
67,0,6,4,1,0.5455,0.0,0.6,0,0.2
68,0,8,2,1,0.7273,0.0,0.8,0,0.2
69,0,5,4,2,0.4545,0.0,0.5556,0,0.0
72,0,6,1,4,0.5455,0.0,0.8571,0,0.0
73,0,8,2,1,0.7273,0.0,0.8,0,0.3
