round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,0,8,0,3,0.7273,0.0,1.0,0,0.25
3,0,9,0,2,0.8182,0.0,1.0,0,0.5556
9,0,9,0,2,0.8182,0.0,1.0,0,0.6667
11,0,10,0,1,0.9091,0.0,1.0,0,0.6
12,0,10,0,1,0.9091,0.0,1.0,0,0.3
13,0,9,0,2,0.8182,0.0,1.0,0,0.2222
14,0,10,0,1,0.9091,0.0,1.0,0,0.4
15,0,10,0,1,0.9091,0.0,1.0,0,0.6
16,0,9,0,2,0.8182,0.0,1.0,0,0.7778
18,0,10,0,1,0.9091,0.0,1.0,0,0.7
19,0,10,0,1,0.9091,0.0,1.0,0,0.4
20,0,9,0,2,0.8182,0.0,1.0,0,0.7778
21,0,9,0,2,0.8182,0.0,1.0,0,0.3333
23,0,10,0,1,0.9091,0.0,1.0,0,0.3
24,0,10,0,1,0.9091,0.0,1.0,0,0.6
25,0,10,0,1,0.9091,0.0,1.0,0,0.7
28,0,10,0,1,0.9091,0.0,1.0,0,0.6
29,0,9,0,2,0.8182,0.0,1.0,0,0.6667
32,0,10,0,1,0.9091,0.0,1.0,0,0.4
33,0,10,0,1,0.9091,0.0,1.0,0,0.5
36,0,10,0,1,0.9091,0.0,1.0,0,0.6
44,0,9,0,2,0.8182,0.0,1.0,0,0.4444
45,0,10,0,1,0.9091,0.0,1.0,0,0.4
47,0,10,0,1,0.9091,0.0,1.0,0,0.6
50,0,10,0,1,0.9091,0.0,1.0,0,0.4
51,0,10,0,1,0.9091,0.0,1.0,0,0.5
52,0,10,0,1,0.9091,0.0,1.0,0,0.3
53,0,10,0,1,0.9091,0.0,1.0,0,0.5
54,0,10,0,1,0.9091,0.0,1.0,0,0.6
55,0,10,0,1,0.9091,0.0,1.0,0,0.4
58,0,10,0,1,0.9091,0.0,1.0,0,0.5
59,0,10,0,1,0.9091,0.0,1.0,0,0.7
61,0,10,0,1,0.9091,0.0,1.0,0,0.7
62,0,10,0,1,0.9091,0.0,1.0,0,0.5
63,0,10,0,1,0.9091,0.0,1.0,0,0.7
64,0,9,0,2,0.8182,0.0,1.0,0,0.6667
67,0,10,0,1,0.9091,0.0,1.0,0,0.4
68,0,10,0,1,0.9091,0.0,1.0,0,0.7
