round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,0,35,0,21,0.625,0.0,1.0,0,0.8803
2,0,38,0,18,0.6786,0.0,1.0,0,0.905
3,0,39,0,17,0.6964,0.0,1.0,0,0.9397
4,0,34,0,22,0.6071,0.0,1.0,0,0.9532
5,0,35,0,21,0.625,0.0,1.0,0,0.9102
6,0,37,0,19,0.6607,0.0,1.0,0,0.9289
7,0,38,0,18,0.6786,0.0,1.0,0,0.7924
8,0,35,0,21,0.625,0.0,1.0,0,0.8136
9,0,34,0,22,0.6071,0.0,1.0,0,0.8877
10,0,33,0,23,0.5893,0.0,1.0,0,0.8827
11,0,39,0,17,0.6964,0.0,1.0,0,0.9155
12,0,39,0,17,0.6964,0.0,1.0,0,0.8084
13,0,38,0,18,0.6786,0.0,1.0,0,0.9927
14,0,35,0,21,0.625,0.0,1.0,0,0.7946
15,0,36,0,20,0.6429,0.0,1.0,0,0.8764
16,0,39,0,17,0.6964,0.0,1.0,0,0.8627
17,0,34,0,22,0.6071,0.0,1.0,0,0.8476
18,0,37,0,19,0.6607,0.0,1.0,0,0.8293
19,0,39,0,17,0.6964,0.0,1.0,0,0.9095
20,0,30,0,26,0.5357,0.0,1.0,0,0.9244
21,0,36,0,20,0.6429,0.0,1.0,0,0.8986
22,0,39,0,17,0.6964,0.0,1.0,0,0.7572
23,0,36,0,20,0.6429,0.0,1.0,0,0.9417
24,0,37,0,19,0.6607,0.0,1.0,0,0.8862
25,0,31,0,25,0.5536,0.0,1.0,0,0.849
26,0,34,0,22,0.6071,0.0,1.0,0,0.9291
27,0,36,0,20,0.6429,0.0,1.0,0,0.7111
28,0,39,0,17,0.6964,0.0,1.0,0,0.8974
29,0,34,0,22,0.6071,0.0,1.0,0,0.7874
30,0,33,0,23,0.5893,0.0,1.0,0,0.9381
31,0,33,0,23,0.5893,0.0,1.0,0,0.8959
32,0,39,0,17,0.6964,0.0,1.0,0,0.9412
33,0,32,0,24,0.5714,0.0,1.0,0,0.8828
34,0,31,0,25,0.5536,0.0,1.0,0,0.8361
35,0,40,0,16,0.7143,0.0,1.0,0,0.8453
36,0,33,0,23,0.5893,0.0,1.0,0,0.9262
37,0,42,0,14,0.75,0.0,1.0,0,0.8112
38,0,42,0,14,0.75,0.0,1.0,0,0.8435
39,0,40,0,16,0.7143,0.0,1.0,0,0.7438
40,0,37,0,19,0.6607,0.0,1.0,0,0.697
41,0,35,0,21,0.625,0.0,1.0,0,0.8041
42,0,36,0,20,0.6429,0.0,1.0,0,0.9361
43,0,35,0,21,0.625,0.0,1.0,0,0.9456
44,0,32,0,24,0.5714,0.0,1.0,0,0.931
45,0,29,0,27,0.5179,0.0,1.0,0,0.742
46,0,41,0,15,0.7321,0.0,1.0,0,0.7106
47,0,36,0,20,0.6429,0.0,1.0,0,0.7681
48,0,39,0,17,0.6964,0.0,1.0,0,0.8929
49,0,36,0,20,0.6429,0.0,1.0,0,0.8514
50,0,36,0,20,0.6429,0.0,1.0,0,0.8583
51,0,39,0,17,0.6964,0.0,1.0,0,0.825
52,0,36,0,20,0.6429,0.0,1.0,0,0.8542
53,0,46,0,10,0.8214,0.0,1.0,0,0.8043
54,0,42,0,14,0.75,0.0,1.0,0,0.8027
55,0,34,0,22,0.6071,0.0,1.0,0,0.8596
56,0,37,0,19,0.6607,0.0,1.0,0,0.8905
57,0,36,0,20,0.6429,0.0,1.0,0,0.8042
58,0,36,0,20,0.6429,0.0,1.0,0,0.8181
59,0,38,0,18,0.6786,0.0,1.0,0,0.9079
60,0,33,0,23,0.5893,0.0,1.0,0,0.8195
61,0,35,0,21,0.625,0.0,1.0,0,0.8544
62,0,33,0,23,0.5893,0.0,1.0,0,0.8248
63,0,40,0,16,0.7143,0.0,1.0,0,0.9094
64,0,37,0,19,0.6607,0.0,1.0,0,0.9061
65,0,33,0,23,0.5893,0.0,1.0,0,0.8933
66,0,34,0,22,0.6071,0.0,1.0,0,0.75
67,0,42,0,14,0.75,0.0,1.0,0,0.7755
68,0,38,0,18,0.6786,0.0,1.0,0,0.8757
69,0,36,0,20,0.6429,0.0,1.0,0,0.7736
