round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,0,21,14,21,0.375,0.0,0.6,0,0.3918
2,0,23,15,18,0.4107,0.0,0.6053,0,0.4108
3,0,22,17,17,0.3929,0.0,0.5641,0,0.4087
4,0,17,17,22,0.3036,0.0,0.5,0,0.3396
5,0,20,15,21,0.3571,0.0,0.5714,0,0.3497
6,0,23,14,19,0.4107,0.0,0.6216,0,0.3599
7,0,27,11,18,0.4821,0.0,0.7105,0,0.5292
8,0,19,16,21,0.3393,0.0,0.5429,0,0.3156
9,0,22,12,22,0.3929,0.0,0.6471,0,0.4251
10,0,20,13,23,0.3571,0.0,0.6061,0,0.39
11,0,25,14,17,0.4464,0.0,0.641,0,0.3831
12,0,22,17,17,0.3929,0.0,0.5641,0,0.2926
13,0,24,14,18,0.4286,0.0,0.6316,0,0.4137
14,0,17,18,21,0.3036,0.0,0.4857,0,0.3102
15,0,20,16,20,0.3571,0.0,0.5556,0,0.4389
16,0,26,13,17,0.4643,0.0,0.6667,0,0.4781
17,0,20,14,22,0.3571,0.0,0.5882,0,0.4051
18,0,27,10,19,0.4821,0.0,0.7297,0,0.5277
19,0,23,16,17,0.4107,0.0,0.5897,0,0.3952
20,0,19,11,26,0.3393,0.0,0.6333,0,0.4205
21,0,22,14,20,0.3929,0.0,0.6111,0,0.5111
22,0,23,16,17,0.4107,0.0,0.5897,0,0.3695
23,0,24,12,20,0.4286,0.0,0.6667,0,0.4014
24,0,19,18,19,0.3393,0.0,0.5135,0,0.3784
25,0,19,12,25,0.3393,0.0,0.6129,0,0.3935
26,0,22,12,22,0.3929,0.0,0.6471,0,0.4759
27,0,18,18,20,0.3214,0.0,0.5,0,0.2611
28,0,24,15,17,0.4286,0.0,0.6154,0,0.4238
29,0,21,13,22,0.375,0.0,0.6176,0,0.4064
30,0,21,12,23,0.375,0.0,0.6364,0,0.5507
31,0,19,14,23,0.3393,0.0,0.5758,0,0.4466
32,0,28,11,17,0.5,0.0,0.7179,0,0.4706
33,0,21,11,24,0.375,0.0,0.6562,0,0.3789
34,0,21,10,25,0.375,0.0,0.6774,0,0.3239
35,0,24,16,16,0.4286,0.0,0.6,0,0.3359
36,0,21,12,23,0.375,0.0,0.6364,0,0.444
37,0,26,16,14,0.4643,0.0,0.619,0,0.3656
38,0,23,19,14,0.4107,0.0,0.5476,0,0.4031
39,0,26,14,16,0.4643,0.0,0.65,0,0.4203
40,0,31,6,19,0.5536,0.0,0.8378,0,0.4979
41,0,23,12,21,0.4107,0.0,0.6571,0,0.4612
42,0,20,16,20,0.3571,0.0,0.5556,0,0.3903
43,0,20,15,21,0.3571,0.0,0.5714,0,0.3497
44,0,17,15,24,0.3036,0.0,0.5312,0,0.3151
45,0,21,8,27,0.375,0.0,0.7241,0,0.5083
46,0,27,14,15,0.4821,0.0,0.6585,0,0.3919
47,0,17,19,20,0.3036,0.0,0.4722,0,0.3069
48,0,27,12,17,0.4821,0.0,0.6923,0,0.4404
49,0,22,14,20,0.3929,0.0,0.6111,0,0.4403
50,0,20,16,20,0.3571,0.0,0.5556,0,0.2986
51,0,26,13,17,0.4643,0.0,0.6667,0,0.5897
52,0,22,14,20,0.3929,0.0,0.6111,0,0.4014
53,0,28,18,10,0.5,0.0,0.6087,0,0.2652
54,0,22,20,14,0.3929,0.0,0.5238,0,0.2381
55,0,22,12,22,0.3929,0.0,0.6471,0,0.4131
56,0,21,16,19,0.375,0.0,0.5676,0,0.468
57,0,21,15,20,0.375,0.0,0.5833,0,0.3625
58,0,31,5,20,0.5536,0.0,0.8611,0,0.4944
59,0,21,17,18,0.375,0.0,0.5526,0,0.3801
60,0,23,10,23,0.4107,0.0,0.697,0,0.4401
61,0,23,12,21,0.4107,0.0,0.6571,0,0.4027
62,0,18,15,23,0.3214,0.0,0.5455,0,0.2912
63,0,28,12,16,0.5,0.0,0.7,0,0.5234
64,0,26,11,19,0.4643,0.0,0.7027,0,0.4851
65,0,20,13,23,0.3571,0.0,0.6061,0,0.3689
66,0,19,15,22,0.3393,0.0,0.5588,0,0.3596
67,0,27,15,14,0.4821,0.0,0.6429,0,0.517
68,0,20,18,18,0.3571,0.0,0.5263,0,0.383
69,0,19,17,20,0.3393,0.0,0.5278,0,0.2875
70,0,26,11,19,0.4643,0.0,0.7027,0,0.4381
71,0,22,16,18,0.3929,0.0,0.5789,0,0.4605
72,0,16,8,32,0.2857,0.0,0.6667,0,0.431
73,0,23,14,19,0.4107,0.0,0.6216,0,0.4097
74,0,16,20,20,0.2857,0.0,0.4444,0,0.3222
75,0,19,13,24,0.3393,0.0,0.5938,0,0.4206
76,0,18,12,26,0.3214,0.0,0.6,0,0.3859
77,0,23,11,22,0.4107,0.0,0.6765,0,0.5535
78,0,21,13,22,0.375,0.0,0.6176,0,0.4599
79,0,21,18,17,0.375,0.0,0.5385,0,0.3439
80,0,24,12,20,0.4286,0.0,0.6667,0,0.4806
81,0,30,11,15,0.5357,0.0,0.7317,0,0.3772
82,0,22,17,17,0.3929,0.0,0.5641,0,0.4148
83,0,22,14,20,0.3929,0.0,0.6111,0,0.4667
84,0,15,18,23,0.2679,0.0,0.4545,0,0.3123
85,0,26,11,19,0.4643,0.0,0.7027,0,0.5875
86,0,24,9,23,0.4286,0.0,0.7273,0,0.4875
87,0,26,10,20,0.4643,0.0,0.7222,0,0.4792
88,0,23,13,20,0.4107,0.0,0.6389,0,0.4403
89,0,18,19,19,0.3214,0.0,0.4865,0,0.2859
90,0,21,11,24,0.375,0.0,0.6562,0,0.4779
91,0,17,17,22,0.3036,0.0,0.5,0,0.357
92,0,24,9,23,0.4286,0.0,0.7273,0,0.4914
93,0,19,19,18,0.3393,0.0,0.5,0,0.2822
94,0,27,12,17,0.4821,0.0,0.6923,0,0.4661
95,0,25,18,13,0.4464,0.0,0.5814,0,0.3757
96,0,17,22,17,0.3036,0.0,0.4359,0,0.3725
97,0,15,21,20,0.2679,0.0,0.4167,0,0.2528
98,0,16,12,28,0.2857,0.0,0.5714,0,0.3469
99,0,20,16,20,0.3571,0.0,0.5556,0,0.3111
100,0,21,13,22,0.375,0.0,0.6176,0,0.369
101,0,17,14,25,0.3036,0.0,0.5484,0,0.4258
102,0,20,14,22,0.3571,0.0,0.5882,0,0.4144
103,0,15,18,23,0.2679,0.0,0.4545,0,0.2819
104,0,20,18,18,0.3571,0.0,0.5263,0,0.4196
105,0,24,16,16,0.4286,0.0,0.6,0,0.3844
106,0,22,16,18,0.3929,0.0,0.5789,0,0.3816
107,0,24,14,18,0.4286,0.0,0.6316,0,0.364
108,0,25,10,21,0.4464,0.0,0.7143,0,0.4218
109,0,22,11,23,0.3929,0.0,0.6667,0,0.5415
110,0,20,11,25,0.3571,0.0,0.6452,0,0.4039
111,0,24,11,21,0.4286,0.0,0.6857,0,0.4748
112,0,27,11,18,0.4821,0.0,0.7105,0,0.4211
113,0,29,10,17,0.5179,0.0,0.7436,0,0.4434
114,0,23,13,20,0.4107,0.0,0.6389,0,0.3694
115,0,17,13,26,0.3036,0.0,0.5667,0,0.4782
116,0,22,10,24,0.3929,0.0,0.6875,0,0.3906
117,0,23,15,18,0.4107,0.0,0.6053,0,0.3289
118,0,16,15,25,0.2857,0.0,0.5161,0,0.3523
119,0,23,9,24,0.4107,0.0,0.7188,0,0.5807
120,0,24,17,15,0.4286,0.0,0.5854,0,0.3333
121,0,20,14,22,0.3571,0.0,0.5882,0,0.4198
122,0,23,17,16,0.4107,0.0,0.575,0,0.4047
123,0,23,9,24,0.4107,0.0,0.7188,0,0.5026
124,0,22,15,19,0.3929,0.0,0.5946,0,0.3755
125,0,21,18,17,0.375,0.0,0.5385,0,0.3183
126,0,29,12,15,0.5179,0.0,0.7073,0,0.5106
127,0,21,10,25,0.375,0.0,0.6774,0,0.4735
128,0,26,18,12,0.4643,0.0,0.5909,0,0.3201
129,0,23,13,20,0.4107,0.0,0.6389,0,0.4042
130,0,23,20,13,0.4107,0.0,0.5349,0,0.4293
131,0,20,11,25,0.3571,0.0,0.6452,0,0.5123
132,0,18,8,30,0.3214,0.0,0.6923,0,0.3962
133,0,17,14,25,0.3036,0.0,0.5484,0,0.311
134,0,28,12,16,0.5,0.0,0.7,0,0.3625
135,0,23,11,22,0.4107,0.0,0.6765,0,0.4639
136,0,19,21,16,0.3393,0.0,0.475,0,0.3484
137,0,24,10,22,0.4286,0.0,0.7059,0,0.4251
138,0,23,11,22,0.4107,0.0,0.6765,0,0.4184
