round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,17,32,3,4,0.875,0.8095,0.9143,0.8293,0.9551
2,13,36,2,5,0.875,0.7222,0.9474,0.7879,0.9532
3,13,38,1,4,0.9107,0.7647,0.9744,0.8387,0.9457
4,17,32,2,5,0.875,0.7727,0.9412,0.8293,0.9639
5,18,32,3,3,0.8929,0.8571,0.9143,0.8571,0.9687
6,16,35,2,3,0.9107,0.8421,0.9459,0.8649,0.9744
7,11,36,2,7,0.8393,0.6111,0.9474,0.7097,0.8246
8,15,32,3,6,0.8393,0.7143,0.9143,0.7692,0.8925
9,15,33,1,7,0.8571,0.6818,0.9706,0.7895,0.9305
10,16,32,1,7,0.8571,0.6957,0.9697,0.8,0.9012
11,14,37,2,3,0.9107,0.8235,0.9487,0.8485,0.9653
12,12,38,1,5,0.8929,0.7059,0.9744,0.8,0.9095
13,16,38,0,2,0.9643,0.8889,1.0,0.9412,1.0
14,12,32,3,9,0.7857,0.5714,0.9143,0.6667,0.849
15,15,35,1,5,0.8929,0.75,0.9722,0.8333,0.9319
16,12,39,0,5,0.9107,0.7059,1.0,0.8276,0.902
17,17,31,3,5,0.8571,0.7727,0.9118,0.8095,0.8997
18,13,33,4,6,0.8214,0.6842,0.8919,0.7222,0.9061
19,12,38,1,5,0.8929,0.7059,0.9744,0.8,0.9155
20,20,27,3,6,0.8393,0.7692,0.9,0.8163,0.9269
21,14,33,3,6,0.8393,0.7,0.9167,0.7568,0.95
22,12,37,2,5,0.875,0.7059,0.9487,0.7742,0.9306
23,16,34,2,4,0.8929,0.8,0.9444,0.8421,0.9569
24,13,35,2,6,0.8571,0.6842,0.9459,0.7647,0.9232
25,19,30,1,6,0.875,0.76,0.9677,0.8444,0.8581
26,20,34,0,2,0.9643,0.9091,1.0,0.9524,0.9813
27,12,34,2,8,0.8214,0.6,0.9444,0.7059,0.8306
28,13,36,3,4,0.875,0.7647,0.9231,0.7879,0.8989
29,13,32,2,9,0.8036,0.5909,0.9412,0.7027,0.881
30,17,33,0,6,0.8929,0.7391,1.0,0.85,0.9354
31,18,32,1,5,0.8929,0.7826,0.9697,0.8571,0.971
32,13,38,1,4,0.9107,0.7647,0.9744,0.8387,0.9804
33,16,30,2,8,0.8214,0.6667,0.9375,0.7619,0.9102
34,20,27,4,5,0.8393,0.8,0.871,0.8163,0.8787
35,11,36,4,5,0.8393,0.6875,0.9,0.7097,0.9109
36,15,32,1,8,0.8393,0.6522,0.9697,0.7692,0.9605
37,10,40,2,4,0.8929,0.7143,0.9524,0.7692,0.8861
38,11,39,3,3,0.8929,0.7857,0.9286,0.7857,0.8912
39,11,38,2,5,0.875,0.6875,0.95,0.7586,0.8234
40,10,37,0,9,0.8393,0.5263,1.0,0.6897,0.8563
41,10,32,3,11,0.75,0.4762,0.9143,0.5882,0.8422
42,18,33,3,2,0.9107,0.9,0.9167,0.878,0.975
43,15,34,1,6,0.875,0.7143,0.9714,0.8108,0.9592
44,21,32,0,3,0.9464,0.875,1.0,0.9333,0.9701
45,13,29,0,14,0.75,0.4815,1.0,0.65,0.811
46,9,38,3,6,0.8393,0.6,0.9268,0.6667,0.8
47,13,35,1,7,0.8571,0.65,0.9722,0.7647,0.8486
48,13,35,4,4,0.8571,0.7647,0.8974,0.7647,0.9321
49,12,35,1,8,0.8393,0.6,0.9722,0.7273,0.925
50,14,32,4,6,0.8214,0.7,0.8889,0.7368,0.8819
51,10,36,3,7,0.8214,0.5882,0.9231,0.6667,0.902
52,12,34,2,8,0.8214,0.6,0.9444,0.7059,0.9097
53,6,42,4,4,0.8571,0.6,0.913,0.6,0.8478
54,11,40,2,3,0.9107,0.7857,0.9524,0.8148,0.9133
55,15,33,1,7,0.8571,0.6818,0.9706,0.7895,0.9211
56,12,37,0,7,0.875,0.6316,1.0,0.7742,0.926
57,15,34,2,5,0.875,0.75,0.9444,0.8108,0.8986
58,14,36,0,6,0.8929,0.7,1.0,0.8235,0.8847
59,15,35,3,3,0.8929,0.8333,0.9211,0.8333,0.9649
60,15,30,3,8,0.8036,0.6522,0.9091,0.7317,0.8682
61,13,31,4,8,0.7857,0.619,0.8857,0.6842,0.8762
62,16,31,2,7,0.8393,0.6957,0.9394,0.7805,0.9025
63,10,39,1,6,0.875,0.625,0.975,0.7407,0.9625
64,15,35,2,4,0.8929,0.7895,0.9459,0.8333,0.9189
65,19,31,2,4,0.8929,0.8261,0.9394,0.8636,0.9473
66,12,31,3,10,0.7679,0.5455,0.9118,0.6486,0.8088
67,8,38,4,6,0.8214,0.5714,0.9048,0.6154,0.8622
68,15,36,2,3,0.9107,0.8333,0.9474,0.8571,0.9254
69,12,35,1,8,0.8393,0.6,0.9722,0.7273,0.8417
70,14,33,4,5,0.8393,0.7368,0.8919,0.7568,0.862
71,11,35,3,7,0.8214,0.6111,0.9211,0.6875,0.8596
72,23,24,0,9,0.8393,0.7188,1.0,0.8364,0.9062
73,15,36,1,4,0.9107,0.7895,0.973,0.8571,0.9559
74,13,32,4,7,0.8036,0.65,0.8889,0.7027,0.8889
75,20,30,2,4,0.8929,0.8333,0.9375,0.8696,0.931
76,16,25,5,10,0.7321,0.6154,0.8333,0.6809,0.8949
77,20,33,1,2,0.9464,0.9091,0.9706,0.9302,0.9612
78,15,32,2,7,0.8393,0.6818,0.9412,0.7692,0.9024
79,12,37,2,5,0.875,0.7059,0.9487,0.7742,0.9065
80,11,33,3,9,0.7857,0.55,0.9167,0.6471,0.8208
81,9,40,1,6,0.875,0.6,0.9756,0.72,0.8439
82,15,37,2,2,0.9286,0.8824,0.9487,0.8824,0.9548
83,15,36,0,5,0.9107,0.75,1.0,0.8571,0.9833
84,18,31,2,5,0.875,0.7826,0.9394,0.8372,0.8946
85,16,35,2,3,0.9107,0.8421,0.9459,0.8649,0.9701
86,16,31,2,7,0.8393,0.6957,0.9394,0.7805,0.917
87,12,34,2,8,0.8214,0.6,0.9444,0.7059,0.8458
88,14,35,1,6,0.875,0.7,0.9722,0.8,0.9125
89,13,34,3,6,0.8393,0.6842,0.9189,0.7429,0.8848
90,15,30,2,9,0.8036,0.625,0.9375,0.7317,0.8737
91,18,28,6,4,0.8214,0.8182,0.8235,0.7826,0.9305
92,19,32,1,4,0.9107,0.8261,0.9697,0.8837,0.9605
93,15,34,4,3,0.875,0.8333,0.8947,0.8108,0.9371
94,14,37,2,3,0.9107,0.8235,0.9487,0.8485,0.9502
95,12,41,2,1,0.9464,0.9231,0.9535,0.8889,0.9696
96,14,37,2,3,0.9107,0.8235,0.9487,0.8485,0.9487
97,9,34,2,11,0.7679,0.45,0.9444,0.5806,0.8458
98,18,26,2,10,0.7857,0.6429,0.9286,0.75,0.8048
99,11,31,5,9,0.75,0.55,0.8611,0.6111,0.8014
100,11,32,2,11,0.7679,0.5,0.9412,0.6286,0.8596
101,19,30,1,6,0.875,0.76,0.9677,0.8444,0.9716
102,21,32,2,1,0.9464,0.9545,0.9412,0.9333,0.9813
103,17,29,4,6,0.8214,0.7391,0.8788,0.7727,0.9249
104,14,37,1,4,0.9107,0.7778,0.9737,0.8485,0.9942
105,9,37,3,7,0.8214,0.5625,0.925,0.6429,0.8859
106,12,37,1,6,0.875,0.6667,0.9737,0.7742,0.8713
107,12,35,3,6,0.8393,0.6667,0.9211,0.7273,0.9035
108,12,34,1,9,0.8214,0.5714,0.9714,0.7059,0.8721
109,17,32,1,6,0.875,0.7391,0.9697,0.8293,0.9275
110,17,30,1,8,0.8393,0.68,0.9677,0.7907,0.871
111,10,34,1,11,0.7857,0.4762,0.9714,0.625,0.8585
112,12,34,4,6,0.8214,0.6667,0.8947,0.7059,0.8918
113,9,37,2,8,0.8214,0.5294,0.9487,0.6429,0.8567
114,16,36,0,4,0.9286,0.8,1.0,0.8889,0.9361
115,18,30,0,8,0.8571,0.6923,1.0,0.8182,0.9385
116,15,29,3,9,0.7857,0.625,0.9062,0.7143,0.8555
117,13,34,4,5,0.8393,0.7222,0.8947,0.7429,0.8977
118,19,29,2,6,0.8571,0.76,0.9355,0.8261,0.929
119,15,32,0,9,0.8393,0.625,1.0,0.7692,0.8945
120,12,40,1,3,0.9286,0.8,0.9756,0.8571,0.9496
121,14,30,4,8,0.7857,0.6364,0.8824,0.7,0.9078
122,12,36,4,4,0.8571,0.75,0.9,0.75,0.95
123,16,32,0,8,0.8571,0.6667,1.0,0.8,0.9531
124,14,35,2,5,0.875,0.7368,0.9459,0.8,0.8834
125,13,37,2,4,0.8929,0.7647,0.9487,0.8125,0.9306
126,8,39,2,7,0.8393,0.5333,0.9512,0.64,0.9171
127,16,28,3,9,0.7857,0.64,0.9032,0.7273,0.9458
128,10,44,0,2,0.9643,0.8333,1.0,0.9091,0.947
129,13,34,2,7,0.8393,0.65,0.9444,0.7429,0.8944
130,10,41,2,3,0.9107,0.7692,0.9535,0.8,0.9159
131,17,30,1,8,0.8393,0.68,0.9677,0.7907,0.9484
132,21,24,2,9,0.8036,0.7,0.9231,0.7925,0.8679
133,16,30,1,9,0.8214,0.64,0.9677,0.7619,0.8735
134,13,35,5,3,0.8571,0.8125,0.875,0.7647,0.8797
135,18,31,3,4,0.875,0.8182,0.9118,0.8372,0.9652
136,9,38,2,7,0.8393,0.5625,0.95,0.6667,0.9031
137,16,31,3,6,0.8393,0.7273,0.9118,0.7805,0.865
138,15,32,2,7,0.8393,0.6818,0.9412,0.7692,0.889
139,16,31,0,9,0.8393,0.64,1.0,0.7805,0.8735
140,19,32,0,5,0.9107,0.7917,1.0,0.8837,0.9844
141,11,36,1,8,0.8393,0.5789,0.973,0.7097,0.9147
142,12,33,4,7,0.8036,0.6316,0.8919,0.6857,0.9047
143,14,34,1,7,0.8571,0.6667,0.9714,0.7778,0.951
144,10,38,1,7,0.8571,0.5882,0.9744,0.7143,0.8839
145,18,29,3,6,0.8393,0.75,0.9062,0.8,0.9193
146,14,35,2,5,0.875,0.7368,0.9459,0.8,0.8805
147,14,37,1,4,0.9107,0.7778,0.9737,0.8485,0.962
148,13,31,4,8,0.7857,0.619,0.8857,0.6842,0.8231
149,15,32,1,8,0.8393,0.6522,0.9697,0.7692,0.888
150,14,34,2,6,0.8571,0.7,0.9444,0.7778,0.8375
151,6,42,1,7,0.8571,0.4615,0.9767,0.6,0.8962
152,11,40,1,4,0.9107,0.7333,0.9756,0.8148,0.9138
153,16,30,2,8,0.8214,0.6667,0.9375,0.7619,0.9167
154,17,31,2,6,0.8571,0.7391,0.9394,0.8095,0.8722
155,11,41,2,2,0.9286,0.8462,0.9535,0.8462,0.9893
156,15,35,3,3,0.8929,0.8333,0.9211,0.8333,0.905
157,5,39,3,9,0.7857,0.3571,0.9286,0.4545,0.7942
158,15,33,0,8,0.8571,0.6522,1.0,0.7895,0.9249
159,15,35,0,6,0.8929,0.7143,1.0,0.8333,0.9224
160,12,41,2,1,0.9464,0.9231,0.9535,0.8889,0.9928
161,17,31,2,6,0.8571,0.7391,0.9394,0.8095,0.9275
162,17,30,3,6,0.8393,0.7391,0.9091,0.7907,0.9117
