round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,0,35,0,21,0.625,0.0,1.0,0,0.6599
2,0,38,0,18,0.6786,0.0,1.0,0,0.7895
3,0,39,0,17,0.6964,0.0,1.0,0,0.813
4,0,34,0,22,0.6071,0.0,1.0,0,0.6885
5,0,35,0,21,0.625,0.0,1.0,0,0.4816
6,0,37,0,19,0.6607,0.0,1.0,0,0.6102
7,0,38,0,18,0.6786,0.0,1.0,0,0.6345
8,0,35,0,21,0.625,0.0,1.0,0,0.6231
9,0,34,0,22,0.6071,0.0,1.0,0,0.6043
10,0,33,0,23,0.5893,0.0,1.0,0,0.6772
11,0,39,0,17,0.6964,0.0,1.0,0,0.6184
12,0,39,0,17,0.6964,0.0,1.0,0,0.4646
13,0,38,0,18,0.6786,0.0,1.0,0,0.6287
14,0,35,0,21,0.625,0.0,1.0,0,0.6762
15,0,36,0,20,0.6429,0.0,1.0,0,0.7042
16,0,39,0,17,0.6964,0.0,1.0,0,0.537
17,0,34,0,22,0.6071,0.0,1.0,0,0.6858
18,0,37,0,19,0.6607,0.0,1.0,0,0.5149
19,0,39,0,17,0.6964,0.0,1.0,0,0.5535
20,0,30,0,26,0.5357,0.0,1.0,0,0.6885
21,0,36,0,20,0.6429,0.0,1.0,0,0.6931
22,0,39,0,17,0.6964,0.0,1.0,0,0.5083
23,0,36,0,20,0.6429,0.0,1.0,0,0.7375
24,0,37,0,19,0.6607,0.0,1.0,0,0.4182
25,0,31,0,25,0.5536,0.0,1.0,0,0.6826
26,0,34,0,22,0.6071,0.0,1.0,0,0.5749
27,0,36,0,20,0.6429,0.0,1.0,0,0.4028
28,0,39,0,17,0.6964,0.0,1.0,0,0.641
29,0,34,0,22,0.6071,0.0,1.0,0,0.6444
30,0,33,0,23,0.5893,0.0,1.0,0,0.7273
31,0,33,0,23,0.5893,0.0,1.0,0,0.664
32,0,39,0,17,0.6964,0.0,1.0,0,0.7496
33,0,32,0,24,0.5714,0.0,1.0,0,0.5898
34,0,31,0,25,0.5536,0.0,1.0,0,0.6258
35,0,40,0,16,0.7143,0.0,1.0,0,0.625
36,0,33,0,23,0.5893,0.0,1.0,0,0.6271
37,0,42,0,14,0.75,0.0,1.0,0,0.6122
38,0,42,0,14,0.75,0.0,1.0,0,0.4677
39,0,40,0,16,0.7143,0.0,1.0,0,0.6719
40,0,37,0,19,0.6607,0.0,1.0,0,0.5206
41,0,35,0,21,0.625,0.0,1.0,0,0.7293
42,0,36,0,20,0.6429,0.0,1.0,0,0.5806
43,0,35,0,21,0.625,0.0,1.0,0,0.732
44,0,32,0,24,0.5714,0.0,1.0,0,0.681
