round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,8,38,3,8,0.807,0.5,0.9268,0.5926,0.8582
2,8,36,4,9,0.7719,0.4706,0.9,0.5517,0.7074
3,8,45,0,4,0.9298,0.6667,1.0,0.8,0.8963
4,9,36,2,10,0.7895,0.4737,0.9474,0.6,0.7798
5,12,36,4,5,0.8421,0.7059,0.9,0.7273,0.9015
6,10,39,2,6,0.8596,0.625,0.9512,0.7143,0.8841
7,8,39,3,7,0.8246,0.5333,0.9286,0.6154,0.7397
8,8,36,2,11,0.7719,0.4211,0.9474,0.5517,0.8726
9,7,36,2,12,0.7544,0.3684,0.9474,0.5,0.7701
10,9,37,0,11,0.807,0.45,1.0,0.6207,0.873
11,7,42,3,5,0.8596,0.5833,0.9333,0.6364,0.7481
12,9,37,4,7,0.807,0.5625,0.9024,0.6207,0.8095
13,9,39,2,7,0.8421,0.5625,0.9512,0.6667,0.9085
14,6,39,2,10,0.7895,0.375,0.9512,0.5,0.7759
15,8,37,3,9,0.7895,0.4706,0.925,0.5714,0.6853
16,11,39,1,6,0.8772,0.6471,0.975,0.7586,0.85
17,5,40,1,11,0.7895,0.3125,0.9756,0.4545,0.6845
18,10,39,1,7,0.8596,0.5882,0.975,0.7143,0.7618
19,12,36,2,7,0.8421,0.6316,0.9474,0.7273,0.856
20,14,35,1,7,0.8596,0.6667,0.9722,0.7778,0.8519
21,10,37,3,7,0.8246,0.5882,0.925,0.6667,0.6809
22,9,41,3,4,0.8772,0.6923,0.9318,0.72,0.8916
23,3,45,1,8,0.8421,0.2727,0.9783,0.4,0.6561
24,7,36,6,8,0.7544,0.4667,0.8571,0.5,0.6381
25,11,35,2,9,0.807,0.55,0.9459,0.6667,0.7689
26,10,36,1,10,0.807,0.5,0.973,0.6452,0.8108
27,7,40,1,9,0.8246,0.4375,0.9756,0.5833,0.7683
28,11,37,3,6,0.8421,0.6471,0.925,0.7097,0.8206
29,6,39,2,10,0.7895,0.375,0.9512,0.5,0.753
30,7,35,3,12,0.7368,0.3684,0.9211,0.4828,0.6801
31,12,37,2,6,0.8596,0.6667,0.9487,0.75,0.8761
32,5,44,0,8,0.8596,0.3846,1.0,0.5556,0.7605
33,15,34,1,7,0.8596,0.6818,0.9714,0.7895,0.9169
34,12,34,0,11,0.807,0.5217,1.0,0.6857,0.8286
35,8,46,0,3,0.9474,0.7273,1.0,0.8421,0.9842
36,7,36,3,11,0.7544,0.3889,0.9231,0.5,0.688
37,6,42,3,6,0.8421,0.5,0.9333,0.5714,0.8074
38,8,45,1,3,0.9298,0.7273,0.9783,0.8,0.913
39,6,39,2,10,0.7895,0.375,0.9512,0.5,0.8689
