round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,0,41,0,16,0.7193,0.0,1.0,0,0.4916
2,0,40,0,17,0.7018,0.0,1.0,0,0.4368
3,0,45,0,12,0.7895,0.0,1.0,0,0.3796
4,0,38,0,19,0.6667,0.0,1.0,0,0.5
5,0,40,0,17,0.7018,0.0,1.0,0,0.4265
6,0,41,0,16,0.7193,0.0,1.0,0,0.3468
7,0,42,0,15,0.7368,0.0,1.0,0,0.3127
8,0,38,0,19,0.6667,0.0,1.0,0,0.3442
9,0,38,0,19,0.6667,0.0,1.0,0,0.5208
10,0,37,0,20,0.6491,0.0,1.0,0,0.573
11,0,45,0,12,0.7895,0.0,1.0,0,0.3935
12,0,41,0,16,0.7193,0.0,1.0,0,0.3354
13,0,41,0,16,0.7193,0.0,1.0,0,0.4375
14,0,41,0,16,0.7193,0.0,1.0,0,0.4848
15,0,40,0,17,0.7018,0.0,1.0,0,0.3162
16,0,40,0,17,0.7018,0.0,1.0,0,0.5051
17,0,41,0,16,0.7193,0.0,1.0,0,0.3872
18,0,40,0,17,0.7018,0.0,1.0,0,0.3721
19,0,38,0,19,0.6667,0.0,1.0,0,0.581
20,0,36,0,21,0.6316,0.0,1.0,0,0.5139
21,0,40,0,17,0.7018,0.0,1.0,0,0.5265
22,0,44,0,13,0.7719,0.0,1.0,0,0.4956
23,0,46,0,11,0.807,0.0,1.0,0,0.3043
24,0,42,0,15,0.7368,0.0,1.0,0,0.5476
25,0,37,0,20,0.6491,0.0,1.0,0,0.3892
26,0,37,0,20,0.6491,0.0,1.0,0,0.4014
27,0,41,0,16,0.7193,0.0,1.0,0,0.4832
28,0,40,0,17,0.7018,0.0,1.0,0,0.3647
29,0,41,0,16,0.7193,0.0,1.0,0,0.4802
30,0,38,0,19,0.6667,0.0,1.0,0,0.3296
31,0,39,0,18,0.6842,0.0,1.0,0,0.4209
32,0,44,0,13,0.7719,0.0,1.0,0,0.4414
33,0,35,0,22,0.614,0.0,1.0,0,0.6026
34,0,34,0,23,0.5965,0.0,1.0,0,0.539
35,0,46,0,11,0.807,0.0,1.0,0,0.3874
36,0,39,0,18,0.6842,0.0,1.0,0,0.3141
37,0,45,0,12,0.7895,0.0,1.0,0,0.4204
38,0,46,0,11,0.807,0.0,1.0,0,0.5939
39,0,41,0,16,0.7193,0.0,1.0,0,0.4284
40,0,42,0,15,0.7368,0.0,1.0,0,0.5016
41,0,37,0,20,0.6491,0.0,1.0,0,0.4351
42,0,41,0,16,0.7193,0.0,1.0,0,0.2317
43,0,43,0,14,0.7544,0.0,1.0,0,0.4294
44,0,34,0,23,0.5965,0.0,1.0,0,0.5006
45,0,34,0,23,0.5965,0.0,1.0,0,0.6215
46,0,45,0,12,0.7895,0.0,1.0,0,0.3241
47,0,37,0,20,0.6491,0.0,1.0,0,0.5635
48,0,39,0,18,0.6842,0.0,1.0,0,0.3974
49,0,41,0,16,0.7193,0.0,1.0,0,0.4223
50,0,44,0,13,0.7719,0.0,1.0,0,0.3759
51,0,40,0,17,0.7018,0.0,1.0,0,0.3706
52,0,41,0,16,0.7193,0.0,1.0,0,0.5084
53,0,48,0,9,0.8421,0.0,1.0,0,0.5544
54,0,47,0,10,0.8246,0.0,1.0,0,0.6638
55,0,40,0,17,0.7018,0.0,1.0,0,0.5147
56,0,42,0,15,0.7368,0.0,1.0,0,0.3865
57,0,42,0,15,0.7368,0.0,1.0,0,0.3214
58,0,41,0,16,0.7193,0.0,1.0,0,0.6113
59,0,39,0,18,0.6842,0.0,1.0,0,0.4822
60,0,41,0,16,0.7193,0.0,1.0,0,0.3453
61,0,37,0,20,0.6491,0.0,1.0,0,0.5662
62,0,36,0,21,0.6316,0.0,1.0,0,0.4101
63,0,38,0,19,0.6667,0.0,1.0,0,0.4612
64,0,40,0,17,0.7018,0.0,1.0,0,0.261
65,0,39,0,18,0.6842,0.0,1.0,0,0.547
66,0,38,0,19,0.6667,0.0,1.0,0,0.4896
67,0,44,0,13,0.7719,0.0,1.0,0,0.5568
68,0,43,0,14,0.7544,0.0,1.0,0,0.5714
69,0,41,0,16,0.7193,0.0,1.0,0,0.4543
70,0,38,0,19,0.6667,0.0,1.0,0,0.4751
71,0,41,0,16,0.7193,0.0,1.0,0,0.4146
72,0,32,0,25,0.5614,0.0,1.0,0,0.4025
73,0,40,0,17,0.7018,0.0,1.0,0,0.4294
74,0,42,0,15,0.7368,0.0,1.0,0,0.4206
75,0,39,0,18,0.6842,0.0,1.0,0,0.4972
76,0,32,0,25,0.5614,0.0,1.0,0,0.3631
77,0,42,0,15,0.7368,0.0,1.0,0,0.3746
78,0,35,0,22,0.614,0.0,1.0,0,0.4286
79,0,46,0,11,0.807,0.0,1.0,0,0.4338
80,0,43,0,14,0.7544,0.0,1.0,0,0.4784
81,0,42,0,15,0.7368,0.0,1.0,0,0.5071
82,0,40,0,17,0.7018,0.0,1.0,0,0.4331
83,0,41,0,16,0.7193,0.0,1.0,0,0.3415
84,0,39,0,18,0.6842,0.0,1.0,0,0.349
85,0,40,0,17,0.7018,0.0,1.0,0,0.3441
86,0,34,0,23,0.5965,0.0,1.0,0,0.5467
87,0,40,0,17,0.7018,0.0,1.0,0,0.5265
88,0,40,0,17,0.7018,0.0,1.0,0,0.3963
89,0,40,0,17,0.7018,0.0,1.0,0,0.4206
90,0,36,0,21,0.6316,0.0,1.0,0,0.5
91,0,37,0,20,0.6491,0.0,1.0,0,0.2824
92,0,39,0,18,0.6842,0.0,1.0,0,0.3006
93,0,40,0,17,0.7018,0.0,1.0,0,0.4412
94,0,41,0,16,0.7193,0.0,1.0,0,0.3902
95,0,43,0,14,0.7544,0.0,1.0,0,0.2558
96,0,43,0,14,0.7544,0.0,1.0,0,0.3173
97,0,37,0,20,0.6491,0.0,1.0,0,0.448
98,0,34,0,23,0.5965,0.0,1.0,0,0.477
99,0,42,0,15,0.7368,0.0,1.0,0,0.4913
100,0,38,0,19,0.6667,0.0,1.0,0,0.4107
101,0,35,0,22,0.614,0.0,1.0,0,0.3922
102,0,36,0,21,0.6316,0.0,1.0,0,0.4101
103,0,35,0,22,0.614,0.0,1.0,0,0.3643
104,0,42,0,15,0.7368,0.0,1.0,0,0.4111
105,0,45,0,12,0.7895,0.0,1.0,0,0.4685
106,0,44,0,13,0.7719,0.0,1.0,0,0.5175
107,0,40,0,17,0.7018,0.0,1.0,0,0.3544
108,0,40,0,17,0.7018,0.0,1.0,0,0.3485
109,0,38,0,19,0.6667,0.0,1.0,0,0.4778
110,0,40,0,17,0.7018,0.0,1.0,0,0.4625
111,0,40,0,17,0.7018,0.0,1.0,0,0.4485
112,0,45,0,12,0.7895,0.0,1.0,0,0.4
113,0,42,0,15,0.7368,0.0,1.0,0,0.4952
114,0,39,0,18,0.6842,0.0,1.0,0,0.604
115,0,39,0,18,0.6842,0.0,1.0,0,0.3362
116,0,36,0,21,0.6316,0.0,1.0,0,0.461
117,0,40,0,17,0.7018,0.0,1.0,0,0.4529
118,0,39,0,18,0.6842,0.0,1.0,0,0.547
119,0,36,0,21,0.6316,0.0,1.0,0,0.5053
120,0,42,0,15,0.7368,0.0,1.0,0,0.4952
121,0,40,0,17,0.7018,0.0,1.0,0,0.5779
122,0,42,0,15,0.7368,0.0,1.0,0,0.3143
123,0,31,0,26,0.5439,0.0,1.0,0,0.4876
124,0,43,0,14,0.7544,0.0,1.0,0,0.5573
125,0,42,0,15,0.7368,0.0,1.0,0,0.5794
126,0,42,0,15,0.7368,0.0,1.0,0,0.4111
127,0,35,0,22,0.614,0.0,1.0,0,0.261
128,0,48,0,9,0.8421,0.0,1.0,0,0.3773
129,0,41,0,16,0.7193,0.0,1.0,0,0.4436
130,0,45,0,12,0.7895,0.0,1.0,0,0.4167
131,0,35,0,22,0.614,0.0,1.0,0,0.4708
132,0,31,0,26,0.5439,0.0,1.0,0,0.5
133,0,33,0,24,0.5789,0.0,1.0,0,0.4495
134,0,43,0,14,0.7544,0.0,1.0,0,0.49
135,0,41,0,16,0.7193,0.0,1.0,0,0.4383
136,0,43,0,14,0.7544,0.0,1.0,0,0.4551
137,0,35,0,22,0.614,0.0,1.0,0,0.413
138,0,36,0,21,0.6316,0.0,1.0,0,0.5384
139,0,36,0,21,0.6316,0.0,1.0,0,0.5251
140,0,35,0,22,0.614,0.0,1.0,0,0.3084
141,0,40,0,17,0.7018,0.0,1.0,0,0.4294
142,0,39,0,18,0.6842,0.0,1.0,0,0.547
143,0,40,0,17,0.7018,0.0,1.0,0,0.5279
144,0,42,0,15,0.7368,0.0,1.0,0,0.4587
145,0,39,0,18,0.6842,0.0,1.0,0,0.2692
146,0,38,0,19,0.6667,0.0,1.0,0,0.5104
147,0,44,0,13,0.7719,0.0,1.0,0,0.4441
148,0,39,0,18,0.6842,0.0,1.0,0,0.3682
149,0,35,0,22,0.614,0.0,1.0,0,0.3883
150,0,38,0,19,0.6667,0.0,1.0,0,0.5145
151,0,45,0,12,0.7895,0.0,1.0,0,0.4241
152,0,43,0,14,0.7544,0.0,1.0,0,0.3605
153,0,38,0,19,0.6667,0.0,1.0,0,0.3497
154,0,34,0,23,0.5965,0.0,1.0,0,0.5358
155,0,45,0,12,0.7895,0.0,1.0,0,0.3954
156,0,43,0,14,0.7544,0.0,1.0,0,0.3605
157,0,43,0,14,0.7544,0.0,1.0,0,0.3098
158,0,39,0,18,0.6842,0.0,1.0,0,0.2721
159,0,36,0,21,0.6316,0.0,1.0,0,0.4272
160,0,48,0,9,0.8421,0.0,1.0,0,0.2338
161,0,40,0,17,0.7018,0.0,1.0,0,0.4478
162,0,39,0,18,0.6842,0.0,1.0,0,0.3291
163,0,38,0,19,0.6667,0.0,1.0,0,0.3823
164,0,35,0,22,0.614,0.0,1.0,0,0.437
165,0,40,0,17,0.7018,0.0,1.0,0,0.4529
166,0,36,0,21,0.6316,0.0,1.0,0,0.5205
167,0,41,0,16,0.7193,0.0,1.0,0,0.263
168,0,47,0,10,0.8246,0.0,1.0,0,0.4638
169,0,42,0,15,0.7368,0.0,1.0,0,0.4667
170,0,45,0,12,0.7895,0.0,1.0,0,0.3574
171,0,36,0,21,0.6316,0.0,1.0,0,0.4497
172,0,40,0,17,0.7018,0.0,1.0,0,0.5412
173,0,40,0,17,0.7018,0.0,1.0,0,0.364
174,0,46,0,11,0.807,0.0,1.0,0,0.4822
175,0,38,0,19,0.6667,0.0,1.0,0,0.5457
176,0,39,0,18,0.6842,0.0,1.0,0,0.2593
177,0,42,0,15,0.7368,0.0,1.0,0,0.4595
178,0,41,0,16,0.7193,0.0,1.0,0,0.3308
179,0,37,0,20,0.6491,0.0,1.0,0,0.5277
180,0,40,0,17,0.7018,0.0,1.0,0,0.389
181,0,37,0,20,0.6491,0.0,1.0,0,0.4622
182,0,33,0,24,0.5789,0.0,1.0,0,0.476
183,0,46,0,11,0.807,0.0,1.0,0,0.3429
184,0,39,0,18,0.6842,0.0,1.0,0,0.3946
185,0,41,0,16,0.7193,0.0,1.0,0,0.4642
186,0,40,0,17,0.7018,0.0,1.0,0,0.3478
187,0,44,0,13,0.7719,0.0,1.0,0,0.4021
