round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,8,38,3,8,0.807,0.5,0.9268,0.5926,0.7576
2,8,36,4,9,0.7719,0.4706,0.9,0.5517,0.8779
3,8,45,0,4,0.9298,0.6667,1.0,0.8,0.7741
4,9,36,2,10,0.7895,0.4737,0.9474,0.6,0.7881
5,12,36,4,5,0.8421,0.7059,0.9,0.7273,0.8294
6,10,39,2,6,0.8596,0.625,0.9512,0.7143,0.8155
7,8,39,3,7,0.8246,0.5333,0.9286,0.6154,0.8095
8,8,36,2,11,0.7719,0.4211,0.9474,0.5517,0.91
9,7,36,2,12,0.7544,0.3684,0.9474,0.5,0.7715
10,9,37,0,11,0.807,0.45,1.0,0.6207,0.8797
11,7,42,3,5,0.8596,0.5833,0.9333,0.6364,0.8222
12,9,37,4,7,0.807,0.5625,0.9024,0.6207,0.8018
13,9,39,2,7,0.8421,0.5625,0.9512,0.6667,0.8506
14,6,39,2,10,0.7895,0.375,0.9512,0.5,0.8582
15,8,37,3,9,0.7895,0.4706,0.925,0.5714,0.8853
16,11,39,1,6,0.8772,0.6471,0.975,0.7586,0.8941
17,5,40,1,11,0.7895,0.3125,0.9756,0.4545,0.8262
18,10,39,1,7,0.8596,0.5882,0.975,0.7143,0.7618
19,12,36,2,7,0.8421,0.6316,0.9474,0.7273,0.8463
20,14,35,1,7,0.8596,0.6667,0.9722,0.7778,0.8479
21,10,37,3,7,0.8246,0.5882,0.925,0.6667,0.7574
22,9,41,3,4,0.8772,0.6923,0.9318,0.72,0.9231
23,3,45,1,8,0.8421,0.2727,0.9783,0.4,0.581
24,7,36,6,8,0.7544,0.4667,0.8571,0.5,0.6492
25,11,35,2,9,0.807,0.55,0.9459,0.6667,0.8595
26,10,36,1,10,0.807,0.5,0.973,0.6452,0.8216
27,7,40,1,9,0.8246,0.4375,0.9756,0.5833,0.779
28,11,37,3,6,0.8421,0.6471,0.925,0.7097,0.8574
29,6,39,2,10,0.7895,0.375,0.9512,0.5,0.8125
30,7,35,3,12,0.7368,0.3684,0.9211,0.4828,0.777
31,12,37,2,6,0.8596,0.6667,0.9487,0.75,0.8575
32,5,44,0,8,0.8596,0.3846,1.0,0.5556,0.8514
33,15,34,1,7,0.8596,0.6818,0.9714,0.7895,0.9338
34,12,34,0,11,0.807,0.5217,1.0,0.6857,0.9028
35,8,46,0,3,0.9474,0.7273,1.0,0.8421,0.9506
36,7,36,3,11,0.7544,0.3889,0.9231,0.5,0.7877
37,6,42,3,6,0.8421,0.5,0.9333,0.5714,0.8704
38,8,45,1,3,0.9298,0.7273,0.9783,0.8,0.8419
39,6,39,2,10,0.7895,0.375,0.9512,0.5,0.9055
40,5,40,2,10,0.7895,0.3333,0.9524,0.4545,0.819
41,10,36,1,10,0.807,0.5,0.973,0.6452,0.8176
42,6,37,4,10,0.7544,0.375,0.9024,0.4615,0.6662
43,9,38,5,5,0.8246,0.6429,0.8837,0.6429,0.8754
44,16,33,1,7,0.8596,0.6957,0.9706,0.8,0.8977
45,14,34,0,9,0.8421,0.6087,1.0,0.7568,0.9514
46,6,44,1,6,0.8772,0.5,0.9778,0.6316,0.9259
47,13,34,3,7,0.8246,0.65,0.9189,0.7222,0.9432
48,9,35,4,9,0.7719,0.5,0.8974,0.5806,0.8191
49,10,39,2,6,0.8596,0.625,0.9512,0.7143,0.9345
50,6,40,4,7,0.807,0.4615,0.9091,0.5217,0.8741
51,11,37,3,6,0.8421,0.6471,0.925,0.7097,0.8618
52,6,38,3,10,0.7719,0.375,0.9268,0.48,0.7637
53,1,44,4,8,0.7895,0.1111,0.9167,0.1429,0.7731
54,2,44,3,8,0.807,0.2,0.9362,0.2667,0.5936
55,6,38,2,11,0.7719,0.3529,0.95,0.48,0.8235
56,10,40,2,5,0.8772,0.6667,0.9524,0.7407,0.854
57,7,38,4,8,0.7895,0.4667,0.9048,0.5385,0.7619
58,10,40,1,6,0.8772,0.625,0.9756,0.7407,0.8811
59,10,38,1,8,0.8421,0.5556,0.9744,0.6897,0.849
60,8,40,1,8,0.8421,0.5,0.9756,0.64,0.8826
61,12,35,2,8,0.8246,0.6,0.9459,0.7059,0.8473
62,8,33,3,13,0.7193,0.381,0.9167,0.5,0.7817
63,13,37,1,6,0.8772,0.6842,0.9737,0.7879,0.9474
64,11,38,2,6,0.8596,0.6471,0.95,0.7333,0.85
65,9,38,1,9,0.8246,0.5,0.9744,0.6429,0.735
66,10,36,2,9,0.807,0.5263,0.9474,0.6452,0.9183
67,9,43,1,4,0.9123,0.6923,0.9773,0.7826,0.8182
68,9,41,2,5,0.8772,0.6429,0.9535,0.72,0.8488
69,8,39,2,8,0.8246,0.5,0.9512,0.6154,0.8354
70,12,37,1,7,0.8596,0.6316,0.9737,0.75,0.9114
71,8,40,1,8,0.8421,0.5,0.9756,0.64,0.7683
72,15,32,0,10,0.8246,0.6,1.0,0.75,0.8938
